Puzzle number,Algorithm,Heuristic,Lenghth of the Solution,Lenghth of the Search Path,Execution Time (in seconds)
1,UCS,N/A,1,6,0.1375619
1,GBFS,h1,1,3,0.047276
1,A/A*,h1,1,3,0.0501067
1,GBFS,h2,1,3,0.0495862
1,A/A*,h2,1,3,0.0484186
1,GBFS,h3,1,3,0.0493093
1,A/A*,h3,1,3,0.0533379
1,GBFS,h4,1,3,0.0481537
2,A/A*,h4,1,3,0.0498046
2,UCS,N/A,2,23,0.3718758
2,GBFS,h1,2,5,0.0657094
2,A/A*,h1,2,5,0.0494293
2,GBFS,h2,2,5,0.0604945
2,A/A*,h2,2,5,0.058027
2,GBFS,h3,2,5,0.0621513
2,A/A*,h3,2,5,0.0610247
2,GBFS,h4,2,5,0.0594235
2,A/A*,h4,2,5,0.0491574
3,UCS,N/A,4,117,2.1482414
3,GBFS,h1,7,37,0.5030936
3,A/A*,h1,4,21,0.3153667
3,GBFS,h2,7,37,0.5297004
3,A/A*,h2,4,21,0.3205213
3,GBFS,h3,7,37,0.5175777
3,A/A*,h3,4,14,0.2043438
3,GBFS,h4,5,28,0.3991474
3,A/A*,h4,4,28,0.4702072
4,UCS,N/A,1,6,0.1125426
4,GBFS,h1,1,3,0.0400376
4,A/A*,h1,1,3,0.0396682
4,GBFS,h2,1,3,0.0397641
4,A/A*,h2,1,3,0.0427772
4,GBFS,h3,1,3,0.0391596
4,A/A*,h3,1,3,0.0376178
4,GBFS,h4,1,3,0.0387191
4,A/A*,h4,1,3,0.0379075
5,UCS,N/A,2,23,0.3223776
5,GBFS,h1,2,5,0.0593943
5,A/A*,h1,2,5,0.0513241
5,GBFS,h2,2,5,0.0598084
5,A/A*,h2,2,5,0.0724662
5,GBFS,h3,2,5,0.0641616
5,A/A*,h3,2,5,0.0579856
5,GBFS,h4,2,5,0.0648164
5,A/A*,h4,2,5,0.0571334
6,UCS,N/A,4,117,2.5384717
6,GBFS,h1,7,37,0.5213016
6,A/A*,h1,4,21,0.325055
6,GBFS,h2,7,37,0.5364864
6,A/A*,h2,4,21,0.337152
6,GBFS,h3,7,37,0.7304626
6,A/A*,h3,4,14,0.2847393
6,GBFS,h4,5,28,0.415635
6,A/A*,h4,4,28,0.4599031
7,UCS,N/A,2,36,0.5913542
7,GBFS,h1,3,5,0.0638058
7,A/A*,h1,2,14,0.2314178
7,GBFS,h2,3,5,0.0634673
7,A/A*,h2,2,14,0.46426
7,GBFS,h3,3,5,0.0729213
7,A/A*,h3,2,5,0.075483
7,GBFS,h4,3,5,0.0844586
7,A/A*,h4,2,14,0.2358869
8,UCS,N/A,4,143,3.6785654
8,GBFS,h1,4,8,0.1582435
8,A/A*,h1,4,41,0.9789097
8,GBFS,h2,4,8,0.1383842
8,A/A*,h2,4,41,0.8914621
8,GBFS,h3,4,8,0.1232922
8,A/A*,h3,4,8,0.1250122
8,GBFS,h4,5,18,0.3995944
8,A/A*,h4,4,21,0.4560216
9,UCS,N/A,4,100,0.9871441
9,GBFS,h1,4,7,0.0633213
9,A/A*,h1,4,20,0.4442618
9,GBFS,h2,4,7,0.0746072
9,A/A*,h2,4,20,0.2187916
9,GBFS,h3,4,7,0.0570304
9,A/A*,h3,4,8,0.0718184
9,GBFS,h4,4,7,0.0641047
9,A/A*,h4,4,13,0.1484473
10,UCS,N/A,4,694,28.5795347
10,GBFS,h1,4,10,0.1948025
10,A/A*,h1,4,106,2.6861623
10,GBFS,h2,4,10,0.1832985
10,A/A*,h2,4,106,2.6452147
10,GBFS,h3,4,10,0.2320164
10,A/A*,h3,4,22,0.456485
10,GBFS,h4,4,10,0.1872371
10,A/A*,h4,4,54,1.173423
11,UCS,N/A,2,24,0.6696339
11,GBFS,h1,2,5,0.0984263
11,A/A*,h1,2,7,0.1371088
11,GBFS,h2,2,5,0.0969106
11,A/A*,h2,2,7,0.3255162
11,GBFS,h3,2,5,0.228143
11,A/A*,h3,2,5,0.146426
11,GBFS,h4,2,5,0.1049513
11,A/A*,h4,2,7,0.1530477
12,UCS,N/A,1,6,0.1357249
12,GBFS,h1,1,3,0.0478681
12,A/A*,h1,1,3,0.0483056
12,GBFS,h2,1,3,0.048085
12,A/A*,h2,1,3,0.0507342
12,GBFS,h3,1,3,0.0438313
12,A/A*,h3,1,3,0.041589
12,GBFS,h4,1,3,0.0409422
