3 0 3  .H.III.HFF.LGHAAKLG...KLG...EE..JJ..
3 1 2  .H.III.HFFKLGHAAKLG....LG...EE..JJ..
3 1 2  .H.III.HFF.LGHAAKLG...KLGEE.....JJ..
3 1 2  .H.III.HFF.LGHAAKLG...KLG..EE...JJ..
3 2 1  .H.III.HFF.LGHAA.LG....LGEE.K...JJK.
3 2 1  .H.III.HFF..GHAAK.G...KLGEE..L..JJ.L
3 3 0  .H.III.HFF..GHAA..G....LGEE.KL..JJKL
3 3 0  .H.III.HFF..GHAA..G...KLGEE.KL..JJ.L
3 3 0  .H.III.HFF..GHAA..G....LGEE.KL..JJKL
3 1 2  .H.III.H.FFLGHAAKLG...KLG...EE..JJ..
3 2 1  .H.III.HFF.LGHAA.LG...KLGEE.K...JJ..
3 1 2  .H.III.HFF.LGHAAKLG...KLG.EE....JJ..
3 2 1  .H.III.HFF..GHAAK.G...KLG..EEL..JJ.L
3 2 1  .H.III.HFF.LGHAA.LG....LG.EEK...JJK.
3 2 1  .H.III.HFF.LGHAA.LG...KLG.EEK...JJ..
3 2 1  .H.III.HFF..GHAAK.G...KLG.EE.L..JJ.L
3 3 0  .H.III.HFF..GHAA..G....LG.EEKL..JJKL
3 3 0  .H.III.HFF..GHAA..G...KLG.EEKL..JJ.L
3 3 0  .H.III.HFF..GHAA..G...KLG.EEKL..JJ.L
3 3 0  .H.III.HFF..GHAA..G....LG.EEKL..JJKL
4 3 1  .H.III.H.FFLGHAA.LG....LG.EEK...JJK.
4 3 1  .H.III.HFF.LGH.AALG...KLGEE.K...JJ..
4 4 0  .H.III.H.FF.GHAA..G....LGEE.KL..JJKL
4 3 1  .H.III.HFF.LGHAA.LG...KLGEE.K...JJ..
4 3 1  .H.III.HFF.LGHAA.LG...KLG.EEK...JJ..
4 4 0  .H.III.HFF..GH..AAG...KLG.EEKL..JJ.L
