2 0 2  IJBBCCIJ.DDLIJAA.L..K.EE..KFF..GGHH.
2 1 1  IJBBCCIJ.DDLIJ.AAL..K.EE..KFF..GGHH.
2 1 1  IJBBCCIJ.DDLIJAA.L..K.EE..K.FF.GGHH.
2 1 1  IJBBCCIJ.DDLIJAA.L..K.EE..KFF..GG.HH
2 1 1  IJBBCCIJ.DDLIJAA.L..KEE...KFF..GGHH.
2 2 0  IJBBCCIJ.DD.IJAA....KEEL..KFFL.GGHH.
2 2 0  IJBBCCIJ.DD.IJAA....KEE...KFFL.GGHHL
3 2 1  IJBBCCIJ.DDLIJ.AAL..K.EE..K.FF.GGHH.
3 2 1  IJBBCCIJ.DDLIJ.AAL..K.EE..KFF..GG.HH
3 2 1  IJBBCCIJ.DDLIJAA.L..KEE...K.FF.GGHH.
3 3 0  IJBBCCIJ.DD.IJAA....KEEL..KFFL.GG.HH
3 3 0  IJBBCCIJ.DD.IJAA....K.EE..KFFL.GGHHL
3 2 1  IJBBCCIJ.DDLIJAA.L..K.EE..K.FF.GG.HH
3 2 1  IJBBCCIJ.DDLIJ.AAL..KEE...KFF..GGHH.
3 2 1  IJBBCCIJ.DD.IJAA.L..KEEL..KFF..GGHH.
3 2 1  IJBBCCIJ.DDLIJ.AAL..KEE...KFF..GGHH.
3 2 1  IJBBCCIJ.DDLIJAA.L..KEE...KFF..GG.HH
3 3 0  IJBBCCIJ.DD.IJ.AA...KEE...KFFL.GGHHL
3 3 0  IJBBCCIJ.DD.IJ.AA...KEEL..KFFL.GGHH.
3 2 1  IJBBCCIJKDDLIJKAAL....EE...FF..GGHH.
3 2 1  IJBBCCIJ.DDLIJ.AAL..K.EE..KFF..GG.HH
3 3 0  IJBBCCIJ.DD.IJ..AA..KEEL..KFFL.GGHH.
