1 0 1  JBB...J.DD.MJAA..MFFK..L..KNNL.HHGG.
1 1 0  JBB..MJ.DD.MJAA...FFK..L..KNNL.HHGG.
2 1 1  JBB...J..DDMJAA..MFFK..L..KNNL.HHGG.
2 1 1  JBB...J.DD.MJAA..MFFK..L..KNNL.HH.GG
2 2 0  JBB..MJ..DDMJAA...FFK..L..KNNL.HHGG.
2 2 0  JBB..MJ.DD.MJAA...FFK..L..KNNL.HH.GG
2 2 0  JBB..MJ.DD.MJAA...FFK..L..KNNL.HH.GG
2 2 0  JBB..MJDD..MJAA...FFK..L..KNNL.HHGG.
2 1 1  JBB...JDD..MJAA..MFFK..L..KNNL.HHGG.
2 1 1  JBB...J.DD.MJ..AAMFFK..L..KNNL.HHGG.
2 2 0  JBB..MJ..DDMJAA...FFK..L..KNNL.HHGG.
2 2 0  JBB..MJ.DD.MJ...AAFFK..L..KNNL.HHGG.
