2 0 2  BBDD.MCC...MAAKL..J.KLEEJ.GG...HH.II
3 1 2  BBDD.MCCK..MAAKL..J..LEEJ.GG...HH.II
3 1 2  BBDD.MCC...MAAKL..J.KLEEJGG....HH.II
3 1 2  BBDD.MCC...MAAKL..J.KLEEJ...GG.HH.II
3 2 1  BBDD.MCC...MAAK...J.K.EEJGGL...HHLII
3 2 1  BBDD.MCC...MAA.L..J.KLEEJ.K.GG.HH.II
3 1 2  BBDD.MCC.L.MAAKL..J.K.EEJ.GG...HH.II
3 3 0  BBDD.MCC...MAA....J.KLEEJ.KLGG.HH.II
3 3 0  BBDD.MCC...MAA....J.K.EEJ.KLGG.HHLII
3 2 1  BBDD.MCC...MAAK...J.KLEEJ..LGG.HH.II
3 2 1  BBDD.MCC...MAAK...J.K.EEJ..LGG.HHLII
3 1 2  BBDD.MCC...MAAKL..J.KLEEJ..GG..HH.II
3 2 1  BBDD.MCC...MAAK...J.KLEEJGGL...HH.II
3 2 1  BBDD.MCC...MAA.L..J.KLEEJ.KGG..HH.II
4 2 2  BBDD.MCC.L.MAAKL..J.KEE.J.GG...HH.II
4 3 1  BBDD.MCC...MAAK...J.KEE.J..LGG.HHLII
4 2 2  BBDD.MCC.L.MAAKL..J.K.EEJ..GG..HH.II
4 2 2  BBDD.MCCK..MAAKL..J..LEEJ..GG..HH.II
4 4 0  BBDD.MCC...M.AA...J.KLEEJ.KLGG.HH.II
4 4 0  BBDD.MCC...MAA....J.KEE.J.KLGG.HHLII
4 4 0  BBDD.MCC...M....AAJ.KLEEJ.KLGG.HH.II
