2 0 2  BB...HE..G.HEAAG.IDD...I...CCI..FF..
2 1 1  BB.G.HE..G.HEAA..IDD...I...CCI..FF..
2 1 1  BB...HE..G.HEAAG..DD...I...CCI..FF.I
2 2 0  BB.G.HE..G.HEAA...DD...I...CCI..FF.I
2 2 0  BB.G.HE..G.HEAA...DD...I...CCI..FF.I
3 1 2  BB...HE..G.HEAAG.IDD...I...CCI.FF...
3 2 1  BB.G.HE..G.HEAA..IDD...I...CCI.FF...
3 3 0  BB.G.HE..G.HE..AA.DD...I...CCI..FF.I
3 3 0  BB.G.HE..G.HEAA...DD...I...CCI...FFI
3 3 0  BB.G.HE..G.HEAA...DD...I...CCI...FFI
3 2 1  BB...HE..G.HEAAG..DD...I...CCI.FF..I
3 3 0  BB.G.HE..G.HEAA...DD...I...CCI.FF..I
3 2 1  BB.G.HE..G.HE..AAIDD...I...CCI..FF..
3 3 0  BB.G.HE..G.HE.AA..DD...I...CCI..FF.I
3 2 1  BB...HE..G.HEAAG..DD...I...CCI.FF..I
3 1 2  BB...HE....HEAAG.IDD.G.I...CCI..FF..
3 2 1  BB...HE....HEAAG..DD.G.I...CCI..FF.I
3 2 1  BB...HE....HEAAG..DD.G.I...CCI..FF.I
3 2 1  BB...HE..G.HEAAG..DD...I...CCI...FFI
3 2 1  BB.G.HE..G.HEAA..IDD...I...CCI.FF...
3 3 0  BB.G.HE..G.HEAA...DD...I...CCI.FF..I
3 3 0  BB.G.HE..G.HE...AADD...I...CCI..FF.I
