3 0 3  .BBCCCJDD..MJAALLMFFK..N..KGGN...HHH
4 1 3  JBBCCCJDD..M.AALLMFFK..N..KGGN...HHH
4 1 3  .BBCCCJ.DD.MJAALLMFFK..N..KGGN...HHH
4 1 3  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
4 1 3  BB.CCCJDD..MJAALLMFFK..N..KGGN...HHH
5 2 3  JBBCCCJDD..MAA.LLMFFK..N..KGGN...HHH
5 2 3  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
5 2 3  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
5 2 3  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
5 2 3  JBBCCCJ.DD.M.AALLMFFK..N..KGGN...HHH
5 2 3  JBBCCCJ..DDM.AALLMFFK..N..KGGN...HHH
5 2 3  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
5 2 3  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
5 2 3  JBBCCCJ.DD.M.AALLMFFK..N..KGGN...HHH
5 2 3  BBCCC.JDD..MJAALLMFFK..N..KGGN...HHH
5 2 3  JBBCCCJ..DDM.AALLMFFK..N..KGGN...HHH
5 3 2  BBCCCMJDD..MJAALL.FFK..N..KGGN...HHH
4 4 0  BBCCCMJDD..MJAA...FFK..N..KGGN...HHH
5 5 0  BBCCCMJ.DD.MJAA...FFK..N..KGGN...HHH
5 5 0  BBCCCMJDD..MJ...AAFFK..N..KGGN...HHH
