3 0 3  BBBD..CC.D.MJAAL.MJ..LEEJ.GG..JHHHII
2 1 1  BBBD.MCC.D.MJAAL..J..LEEJ.GG..JHHHII
3 1 2  BBBD..CC.D.MJAAL.MJ..LEEJ..GG.JHHHII
3 1 2  BBBD..CC.D.MJAAL.MJ..LEEJ...GGJHHHII
3 2 1  BBBD.MCC.D.MJAAL..J..LEEJ...GGJHHHII
3 2 1  BBBD.MCC.D.MJAAL..J..LEEJ..GG.JHHHII
3 2 1  BBBD..CC.D.MJAA..MJ..LEEJ..LGGJHHHII
3 1 2  BBBD..CC.D.MJAAL.MJ..LEEJGG...JHHHII
3 3 0  BBBD.MCC.D.MJAA...J..LEEJ..LGGJHHHII
3 2 1  BBBD.MCC.D.MJAAL..J..LEEJ..GG.JHHHII
3 2 1  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
3 2 1  BBBD..CC.D.MJAA..MJ..LEEJGGL..JHHHII
3 2 1  BBBD.MCC.D.MJAAL..J..LEEJ...GGJHHHII
3 3 0  BBBD.MCC.D.MJAA...J..LEEJ..LGGJHHHII
3 2 1  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
3 3 0  BBBD.MCC.D.MJAA...J..LEEJGGL..JHHHII
3 3 0  BBBD.MCC.D.MJAA...J..LEEJGGL..JHHHII
3 3 0  BBBD.MCC.D.MJAA...J..LEEJGGL..JHHHII
4 3 1  BBBD.MCC.D.MJAAL..J..LEEJ..GG.JHHHII
4 4 0  BBBD.MCC.D.MJ...AAJ..LEEJ..LGGJHHHII
