2 0 2  BB.G.HE..G.HEAAG.ICCF..IDDF..I..F...
2 1 1  BB...HE....HEAA..ICCFG.IDDFG.I..FG..
2 1 1  BB.G.HE..G.HEAAG..CCF..IDDF..I..F..I
2 2 0  BB...HE....HEAA...CCFG.IDDFG.I..FG.I
2 2 0  BB...HE....HEAA...CCFG.IDDFG.I..FG.I
3 1 2  BB...HE..G.HEAAG.ICCFG.IDDF..I..F...
3 2 1  BB...HE....HE..AAICCFG.IDDFG.I..FG..
3 2 1  BB...HE....HE.AA.ICCFG.IDDFG.I..FG..
3 3 0  BB...HE....HE..AA.CCFG.IDDFG.I..FG.I
3 2 1  BB...HE..G.HEAAG..CCFG.IDDF..I..F..I
3 3 0  BB...HE....HE..AA.CCFG.IDDFG.I..FG.I
3 3 0  BB...HE....HE.AA..CCFG.IDDFG.I..FG.I
3 2 1  BB...HE....HEAAG..CCFG.IDDFG.I..F..I
3 3 0  BB...HE....HE.AA..CCFG.IDDFG.I..FG.I
3 3 0  BB...HE....HE...AACCFG.IDDFG.I..FG.I
