3 0 3  J..CCCJDD..MJAAL.MFF.L.NBB.GGN.HH...
3 1 2  JCCC..JDD..MJAAL.MFF.L.NBB.GGN.HH...
3 1 2  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
3 1 2  J..CCCJDD..MJAAL.MFF.L..BB.GGN.HH..N
3 2 1  JCCC.MJDD..MJAAL..FF.L.NBB.GGN.HH...
3 1 2  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
3 1 2  J..CCCJ..DDMJAAL.MFF.L.NBB.GGN.HH...
3 1 2  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
3 2 1  J.CCCMJDD..MJAAL..FF.L.NBB.GGN.HH...
4 2 2  J..CCCJ..DDMJAAL.MFF.L..BB.GGN.HH..N
4 2 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
4 2 2  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
4 2 2  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
4 3 1  J.CCCMJDDL.MJAAL..FF...NBB.GGN.HH...
4 3 1  J.CCCMJDD..MJAAL..FF.L..BB.GGN.HH..N
4 2 2  J..CCCJ.DD.MJAAL.MFF.L..BB.GGN.HH..N
4 2 2  J..CCCJ.DD.MJAAL.MFF.L..BB.GGN.HH..N
4 2 2  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
4 2 2  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
4 2 2  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
4 3 1  JCCC.MJ.DD.MJAAL..FF.L.NBB.GGN.HH...
4 2 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
4 2 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
4 2 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
4 3 1  JCCC.MJDD..MJAAL..FF.L..BB.GGN.HH..N
4 3 1  JCCC.MJ.DD.MJAAL..FF.L.NBB.GGN.HH...
4 2 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
4 2 2  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
4 2 2  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
4 3 1  J.CCCMJ.DD.MJAAL..FF.L.NBB.GGN.HH...
4 3 1  J.CCCMJDD..MJAAL..FF.L..BB.GGN.HH..N
4 3 1  JCCC.MJ..DDMJAAL..FF.L.NBB.GGN.HH...
4 3 1  JCCC.MJDDL.MJAAL..FF...NBB.GGN.HH...
4 3 1  JCCC.MJDD..MJAAL..FF.L..BB.GGN.HH..N
4 2 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
4 2 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
4 2 2  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
4 3 1  J.CCCMJ..DDMJAAL..FF.L.NBB.GGN.HH...
4 3 1  J.CCCMJ.DD.MJAAL..FF.L.NBB.GGN.HH...
4 3 1  JCCC.MJDDL.MJAAL..FF...NBB.GGN.HH...
4 2 2  J..CCCJ..DDMJAAL.MFF.L..BB.GGN.HH..N
4 3 1  J.CCCMJ.DD.MJAAL..FF.L.NBB.GGN.HH...
4 2 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
4 3 1  J.CCCMJDD..MJAAL..FF.L..BB.GGN.HH..N
4 2 2  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
4 3 1  J.CCCMJ..DDMJAAL..FF.L.NBB.GGN.HH...
4 2 2  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
4 2 2  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
4 2 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
4 2 2  J..CCCJDD...JAAL.MFF.L.MBB.GGN.HH..N
4 3 1  JCCC.MJDDL.MJAAL..FF...NBB.GGN.HH...
4 3 1  J.CCCMJ..DDMJAAL..FF.L.NBB.GGN.HH...
5 3 2  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
5 3 2  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
5 3 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
5 4 1  JCCC.MJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 3 2  J..CCCJ...DDJAAL.MFF.L.MBB.GGN.HH..N
5 4 1  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
5 4 1  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
5 4 1  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
5 4 1  JCCC.MJ..DDMJAAL..FF.L..BB.GGN.HH..N
5 4 1  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 3 2  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
5 4 1  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
5 4 1  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
5 4 1  JCCC.MJ..DDMJAAL..FF.L.NBB.GGN.HH...
5 3 2  J..CCCJ..DD.JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
5 4 1  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 4 1  J.CCCMJ..DDMJAAL..FF.L.NBB.GGN.HH...
5 3 2  J.CCC.JDD...JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
5 4 1  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
5 4 1  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  J..CCCJ..DD.JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 4 1  JCCC.MJ..DDMJAAL..FF.L.NBB.GGN.HH...
5 3 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
5 3 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
5 4 1  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 3 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 4 1  JCCC.MJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 4 1  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDD...JAAL.MFF.L.MBB.GGN.HH..N
5 4 1  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
5 3 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
5 3 2  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 4 1  JCCC.MJ..DDMJAAL..FF.L..BB.GGN.HH..N
5 4 1  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 4 1  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
5 3 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J..CCCJ..DD.JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  J..CCCJDDL..JAAL.MFF...MBB.GGN.HH..N
5 3 2  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 4 1  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
5 4 1  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 4 1  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
5 4 1  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
5 3 2  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 4 1  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
5 3 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
5 3 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
5 4 1  JCCC.MJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 3 2  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
5 4 1  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 3 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
5 4 1  J.CCCMJ.DD.MJAAL..FF.L.NBB.GGN.HH...
5 3 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
5 3 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
5 3 2  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
5 3 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 4 1  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
5 3 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 4 1  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
5 3 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
5 3 2  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J..CCCJ.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 4 1  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
5 3 2  J.CCC.JDD...JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
5 3 2  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
5 3 2  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
5 4 1  JCCC.MJ.DD.MJAAL..FF.L..BB.GGN.HH..N
5 3 2  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
5 3 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
5 3 2  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
5 4 1  JCCC.MJ..DDMJAAL..FF.L..BB.GGN.HH..N
6 4 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 5 1  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
6 4 2  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
6 4 2  JCCC..JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
6 5 1  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
6 4 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 5 1  JCCC.MJ..DDMJAAL..FF.L..BB.GGN.HH..N
6 4 2  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  JCCC..JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
6 4 2  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
6 4 2  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCCMJDDL.MJAAL.NFF...NBB.GG..HH...
6 4 2  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
6 4 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 5 1  JCCC.MJ..DDMJAAL..FF.L..BB.GGN.HH..N
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCCMJDDL.MJAAL.NFF...NBB.GG..HH...
6 4 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  J.CCC.JDD...JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
6 4 2  JCCC..JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  JCCC.MJDDL.MJAAL.NFF...NBB.GG..HH...
6 4 2  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
6 4 2  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
6 4 2  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
6 4 2  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
