2 0 2  IJ..CCIJ.DDLIJAA.L..K.EEB.KFF.BGGHH.
2 1 1  IJ..CCIJDD.LIJAA.L..K.EEB.KFF.BGGHH.
2 1 1  IJ..CCIJ.DDLIJAA.LB.K.EEB.KFF..GGHH.
2 1 1  IJ..CCIJ.DDLIJAA.L..KEE.B.KFF.BGGHH.
2 1 1  IJ..CCIJ.DDLIJ.AAL..K.EEB.KFF.BGGHH.
2 1 1  I...CCIJ.DDLIJAA.L.JK.EEB.KFF.BGGHH.
2 2 0  IJ..CCIJ.DD.IJAA....KEELB.KFFLBGGHH.
2 2 0  IJ..CCIJ.DD.IJAA....KEE.B.KFFLBGGHHL
3 2 1  I...CCIJDD.LIJAA.L.JK.EEB.KFF.BGGHH.
3 2 1  IJ..CCIJDD.LIJAA.L..KEE.B.KFF.BGGHH.
3 2 1  I...CCIJ.DDLIJAA.L.JKEE.B.KFF.BGGHH.
3 3 0  IJ..CCIJ.DD.IJ..AA..KEELB.KFFLBGGHH.
