1 0 1  JBBKK.JDD..MJAA..M...L..F..LNNFHHCC.
1 1 0  JBBKKMJDD..MJAA......L..F..LNNFHHCC.
2 1 1  JBBKK.JDD..MJ..AAM...L..F..LNNFHHCC.
2 1 1  JBBKK.JDD..MJAA..M...L..F..LNNFHH.CC
2 2 0  JBBKKMJDD..MJ..AA....L..F..LNNFHHCC.
2 2 0  JBBKKMJDD..MJAA......L..F..LNNFHH.CC
2 2 0  JBBKKMJDD..MJAA......L..F..LNNFHH.CC
2 2 0  JBBKKMJDD..MJ.AA.....L..F..LNNFHHCC.
2 1 1  JBBKK.JDD..MJ.AA.M...L..F..LNNFHHCC.
2 1 1  JBBKK.JDD...JAA..M...L.MF..LNNFHHCC.
2 2 0  JBBKKMJDD..MJ..AA....L..F..LNNFHHCC.
2 2 0  .BBKKMJDD..MJAA...J..L..F..LNNFHHCC.
2 1 1  .BBKK.JDD..MJAA..MJ..L..F..LNNFHHCC.
2 2 0  JBBKKMJDD..MJ...AA...L..F..LNNFHHCC.
