3 0 3  JBBCCCJDD..MJAAL.M..KL.NFFK..N.HH.GG
3 1 2  JBBCCCJDD..MJAA..M..KL.NFFKL.N.HH.GG
4 2 2  JBBCCCJ.DD.MJAA..M..KL.NFFKL.N.HH.GG
4 2 2  JBBCCCJ..DDMJAA..M..KL.NFFKL.N.HH.GG
4 2 2  JBBCCCJDD..MJ.AA.M..KL.NFFKL.N.HH.GG
4 2 2  JBBCCCJDD..MJ..AAM..KL.NFFKL.N.HH.GG
4 2 2  .BBCCCJDD..MJAA..MJ.KL.NFFKL.N.HH.GG
5 1 4  JBBCCCJ..DDMJAAL.M..KL.NFFK..N.HH.GG
5 3 2  .BBCCCJ.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
5 3 2  JBBCCCJ..DDMJ.AA.M..KL.NFFKL.N.HH.GG
5 3 2  .BBCCCJDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
5 3 2  .BBCCCJDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
5 3 2  JBBCCCJ.DD.MJ.AA.M..KL.NFFKL.N.HH.GG
5 1 4  JBBCCCJ.DD.MJAAL.M..KL.NFFK..N.HH.GG
5 3 2  JBBCCCJ..DDMJ..AAM..KL.NFFKL.N.HH.GG
5 3 2  JBBCCCJ..DDMJ.AA.M..KL.NFFKL.N.HH.GG
5 1 4  JBBCCCJDDL.MJAAL.M..K..NFFK..N.HH.GG
5 3 2  JBBCCCJ.DD.MJ..AAM..KL.NFFKL.N.HH.GG
5 3 2  .BBCCCJDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
5 3 2  .BBCCCJDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
5 3 2  JBBCCCJ.DD.MJ.AA.M..KL.NFFKL.N.HH.GG
5 3 2  .BBCCCJ..DDMJAA..MJ.KL.NFFKL.N.HH.GG
5 3 2  .BBCCCJ.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
5 3 2  JBBCCCJ..DDMJAA..M..KL.NFFKL.N.HH.GG
5 3 2  .BBCCCJ..DDMJAA..MJ.KL.NFFKL.N.HH.GG
5 3 2  BB.CCCJDD..MJAA..MJ.KL.NFFKL.N.HH.GG
5 3 2  JBBCCCJ..DDMJ..AAM..KL.NFFKL.N.HH.GG
5 1 4  .BBCCCJDD..MJAAL.MJ.KL.NFFK..N.HH.GG
5 3 2  JBBCCCJ.DD.MJ..AAM..KL.NFFKL.N.HH.GG
5 3 2  JBBCCCJDD..MJ..AAM..KL.NFFKL.N.HH.GG
6 2 4  .BBCCCJ..DDMJAAL.MJ.KL.NFFK..N.HH.GG
6 4 2  .BBCCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
6 2 4  .BBCCCJ.DD.MJAAL.MJ.KL.NFFK..N.HH.GG
6 4 2  .BBCCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
6 2 4  .BBCCCJ.DD.MJAAL.MJ.KL.NFFK..N.HH.GG
6 4 2  .BBCCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
6 4 2  BB.CCCJDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
6 4 2  JBBCCCJ..DDMJ..AAM..KL.NFFKL.N.HH.GG
6 4 2  JBBCCCJ.DD.MJ.AA.M..KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJ..DDMJAA..MJ.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
6 2 4  .BBCCCJDDL.MJAAL.MJ.K..NFFK..N.HH.GG
6 2 4  BB.CCCJDD..MJAAL.MJ.KL.NFFK..N.HH.GG
6 4 2  BB.CCCJ.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
6 4 2  BB.CCCJDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
6 4 2  BB.CCCJ..DDMJAA..MJ.KL.NFFKL.N.HH.GG
6 2 4  JBBCCCJ.DD.MJAAL.M..KL.NFFK..N.HH.GG
6 4 2  .BBCCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
6 4 2  BB.CCCJ.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
6 2 4  .BBCCCJ..DDMJAAL.MJ.KL.NFFK..N.HH.GG
6 4 2  BBCCC.JDD..MJAA..MJ.KL.NFFKL.N.HH.GG
5 5 0  BBCCCMJDD..MJAA...J.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
6 4 2  BB.CCCJ..DDMJAA..MJ.KL.NFFKL.N.HH.GG
6 2 4  .BBCCCJDDL.MJAAL.MJ.K..NFFK..N.HH.GG
6 4 2  .BBCCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
6 4 2  BB.CCCJ.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
6 4 2  .BBCCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
6 6 0  BBCCCMJDD..MJ...AAJ.KL.NFFKL.N.HH.GG
