3 0 3  .HHD..CC.D.MAA.L.MJK.LEEJKGG...BB.II
3 1 2  .HHD.MCC.D.MAA.L..JK.LEEJKGG...BB.II
3 1 2  .HHD..CC.D.MAA.L.MJK.LEEJK..GG.BB.II
3 2 1  .HHD.MCC.D.MAA.L..JK.LEEJK..GG.BB.II
3 2 1  .HHD..CC.D.MAA...MJK..EEJK.LGG.BBLII
3 3 0  .HHD.MCC.D.MAA....JK.LEEJK.LGG.BB.II
3 2 1  .HHD.MCC.D.MAA.L..JK.LEEJK..GG.BB.II
3 2 1  .HHD..CC.D.MAA...MJK.LEEJK.LGG.BB.II
3 3 0  .HHD.MCC.D.MAA....JK..EEJK.LGG.BBLII
3 3 0  .HHD.MCC.D.MAA....JK..EEJK.LGG.BBLII
3 3 0  .HHD.MCC.D.MAA....JK..EEJK.LGG.BBLII
4 3 1  .HHD.MCC.D.MAA.L...K.LEEJK..GGJBB.II
4 4 0  .HHD.MCC.D.M.AA...JK.LEEJK.LGG.BB.II
4 3 1  .HHD..CC.D.MAA...MJK.LEEJK.LGG.BB.II
4 2 2  .HHD..CC.D.MAA.L.M.K.LEEJK..GGJBB.II
4 4 0  .HHD.MCC.D.MAA.....K..EEJK.LGGJBBLII
4 3 1  .HHD..CC.D.M..AA.MJK..EEJK.LGG.BBLII
4 3 1  .HHD.MCC.D.MAA.L...K.LEEJK..GGJBB.II
4 3 1  .HHD..CC.D.M..AA.MJK.LEEJK.LGG.BB.II
4 3 1  .HHD..CC.D.MAA...M.K.LEEJK.LGGJBB.II
4 4 0  .HHD.MCC.D.M....AAJK..EEJK.LGG.BBLII
