2 0 2  CBB...C.DD.MKKAAGMJ...GMJEE...JHH.II
2 1 1  CBB...C.DD.MKKAA.MJ...GMJEE.G.JHH.II
3 1 2  CBB...C.DDGMKKAAGMJ....MJEE...JHH.II
3 1 2  CBB...C.DD..KKAAGMJ...GMJEE..MJHH.II
3 2 1  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHH.II
3 2 1  CBB...C.DD.MKKAA.MJ...GMJEE.G.JHHII.
3 1 2  CBB...C.DD.MKKAAGMJ...GMJEE...JHHII.
3 3 0  CBB...C.DD..KKAA..J...GMJEE.GMJHHIIM
3 1 2  CBB..MC.DD.MKKAAGMJ...G.JEE...JHH.II
3 1 2  CBB...CDD..MKKAAGMJ...GMJEE...JHH.II
3 2 1  CBB...C.DD..KKAA.MJ...GMJEE.GMJHH.II
3 2 1  CBB...C.DD.MKK.AAMJ...GMJEE.G.JHH.II
3 2 1  CBB...CDD..MKKAA.MJ...GMJEE.G.JHH.II
3 1 2  CBB...C..DDMKKAAGMJ...GMJEE...JHH.II
3 2 1  CBB...C.DD..KKAA.MJ...GMJEE.GMJHH.II
3 2 1  CBB...C.DD..KKAAG.J...GMJEE..MJHHIIM
3 2 1  CBB...CDD..MKKAA.MJ...GMJEE.G.JHH.II
3 2 1  CBB...C..DDMKKAA.MJ...GMJEE.G.JHH.II
3 2 1  CBB...C..DDMKKAA.MJ...GMJEE.G.JHH.II
4 3 1  CBB...CDD..MKK.AAMJ...GMJEE.G.JHH.II
4 2 2  CBB...C..DD.KKAAGMJ...GMJEE..MJHH.II
4 3 1  CBB...CDD...KKAA.MJ...GMJEE.GMJHH.II
4 3 1  CBB...C.DD..KKAA.MJ...GMJEE.GMJHHII.
4 3 1  CBB...CDD..MKKAA.MJ...GMJEE.G.JHHII.
4 3 1  CBB...C..DDMKKAA.MJ...GMJEE.G.JHHII.
4 3 1  CBB...C..DDMKKAA.MJ...GMJEE.G.JHHII.
4 2 2  CBB...C..DDMKKAAGMJ...GMJEE...JHHII.
4 3 1  CBB...C..DDMKK.AAMJ...GMJEE.G.JHH.II
4 2 2  CBB...CDD.GMKKAAGMJ....MJEE...JHH.II
4 3 1  CBB...C.DD.MKK.AAMJ...GMJEE.G.JHHII.
4 4 0  CBB...CDD...KKAA..J...GMJEE.GMJHHIIM
4 4 0  CBB...C..DD.KKAA..J...GMJEE.GMJHHIIM
4 4 0  CBB...C..DD.KKAA..J...GMJEE.GMJHHIIM
4 4 0  CBB...C.DD..KK.AA.J...GMJEE.GMJHHIIM
4 3 1  CBB...C.DD.M.KKAAMJ...GMJEE.G.JHH.II
4 2 2  CBB...C.DDGMKKAAGMJ....MJEE...JHHII.
4 3 1  CBB...C.DD..KKAA.MJ...GMJEE.GMJHHII.
4 2 2  CBB...C.DD..KKAAGMJ...GMJEE..MJHHII.
4 3 1  CBB..MC..DDMKKAA.MJ...G.JEE.G.JHH.II
4 3 1  CBB...C.DD..KK.AAMJ...GMJEE.GMJHH.II
4 4 0  CBB...C.DD..KK..AAJ...GMJEE.GMJHHIIM
