4 0 4  IJBB..IJ..CCIJAALDEEK.LD..KFFF.GGHH.
3 1 2  IJBB..IJCC..IJAALDEEK.LD..KFFF.GGHH.
3 2 1  IJBBL.IJCCL.IJAA.DEEK..D..KFFF.GGHH.
3 2 1  IJBB.DIJCC.DIJAAL.EEK.L...KFFF.GGHH.
3 3 0  IJBBLDIJCCLDIJAA..EEK.....KFFF.GGHH.
3 3 0  IJBBLDIJCCLDIJAA..EEK.....KFFF.GGHH.
4 2 2  IJBB..IJCC.DIJAALDEEK.L...KFFF.GGHH.
4 3 1  IJBB.DIJCC.DIJAAL.EEK.L...KFFF.GG.HH
4 1 3  IJBB..IJ.CC.IJAALDEEK.LD..KFFF.GGHH.
4 3 1  IJBBL.IJCCL.IJ.AADEEK..D..KFFF.GGHH.
4 2 2  IJBB..IJCC..IJAALDEEK.LD..KFFF.GG.HH
4 4 0  IJBBLDIJCCLDIJ.AA.EEK.....KFFF.GGHH.
4 4 0  IJBBLDIJCCLDIJ.AA.EEK.....KFFF.GGHH.
4 4 0  IJBBLDIJCCLDIJ..AAEEK.....KFFF.GGHH.
