2 0 2  ..I...BBI.K.GHAAKLGH...LG..JEEFF.JDD
2 1 1  ..I.K.BBI.K.GHAA.LGH...LG..JEEFF.JDD
2 1 1  ..I..LBBI.KLGHAAK.GH....G..JEEFF.JDD
2 2 0  ..I.KLBBI.KLGHAA..GH....G..JEEFF.JDD
2 2 0  ..I.KLBBI.KLGHAA..GH....G..JEEFF.JDD
3 1 2  ..I...BBI.KLGHAAKLGH....G..JEEFF.JDD
3 2 1  ..I.K.BBI.K.GH.AALGH...LG..JEEFF.JDD
3 3 0  ..I.KLBBI.KLG.AA..GH....GH.JEEFF.JDD
3 2 1  ..I.K.BBI.KLGHAA.LGH....G..JEEFF.JDD
3 1 2  ..I...BBI...GHAAKLGH..KLG..JEEFF.JDD
3 1 2  ..I...BBI.K.G.AAKLGH...LGH.JEEFF.JDD
3 2 1  ..I.K.BBI.K.G.AA.LGH...LGH.JEEFF.JDD
3 3 0  ..I.KLBBI.KLG.AA..GH....GH.JEEFF.JDD
3 3 0  ..I.KLBBI.KLGH.AA.GH....G..JEEFF.JDD
3 2 1  ..I..LBBI.KLG.AAK.GH....GH.JEEFF.JDD
3 2 1  ..I.K.BBI.K.G.AA.LGH...LGH.JEEFF.JDD
3 3 0  ..I.KLBBI.KLGH.AA.GH....G..JEEFF.JDD
3 2 1  ..I..LBBI.KLG.AAK.GH....GH.JEEFF.JDD
3 3 0  ..I.KLBBI.KLGH..AAGH....G..JEEFF.JDD
