0 0 2  IJBBCCIJ.DDLIJAA.L..K.EE..KFF..GGHH.
0 1 1  IJBBCCIJ.DDLIJ.AAL..K.EE..KFF..GGHH.
0 1 1  IJBBCCIJ.DDLIJAA.L..K.EE..K.FF.GGHH.
0 1 1  IJBBCCIJ.DDLIJAA.L..K.EE..KFF..GG.HH
0 2 1  IJBBCCIJ.DDLIJ.AAL..K.EE..K.FF.GGHH.
0 2 1  IJBBCCIJ.DDLIJ.AAL..K.EE..KFF..GG.HH
0 2 1  IJBBCCIJ.DDLIJAA.L..K.EE..K.FF.GG.HH
0 2 1  IJBBCCIJ.DDLIJAA.L..K.EE..K.FF.GG.HH
0 3 1  IJBBCCIJ.DDLIJ.AAL..KEE...K.FF.GGHH.
0 3 1  IJBBCCIJKDDLIJKAAL....EE...FF..GG.HH
0 3 1  IJBBCCIJ.DDLIJ.AAL..K.EE..K.FF.GG.HH
0 3 1  IJBBCCIJ.DDLIJAA.L..KEE...K.FF.GG.HH
0 3 1  IJBBCCIJ.DDLIJAA.L..KEE...K.FF.GG.HH
0 4 1  IJBBCCIJ.DDLIJ.AAL..KEE...K.FF.GG.HH
0 4 1  IJBBCCIJKDDLIJKAAL....EE.FF....GG.HH
0 4 1  IJBBCCIJKDDLIJKAAL....EE....FF.GG.HH
0 4 1  IJBBCCIJ.DDLIJ.AAL..KEE...K.FF.GG.HH
0 4 1  IJBBCCIJ.DDLIJAA.L..KEE...KFF..GG.HH
0 5 0  IJBBCCIJ.DD.IJAA....KEEL..KFFL.GG.HH
0 6 0  IJBBCCIJ.DD.IJ.AA...KEEL..KFFL.GG.HH
0 6 0  IJBBCCIJ.DD.IJ..AA..KEEL..KFFL.GG.HH
