0 0 2  CBB...C.DD.MKKAAGMJ...GMJEE...JHH.II
0 1 2  CBB...C.DD.MKKAA.MJ...GMJEE.G.JHH.II
0 2 2  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHH.II
0 2 2  CBB...C.DD.MKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...C.DD..KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...CDD...KKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...C...DDKKAA..J...GMJEE.GMJHHIIM
0 4 0  CBB...C.DD..KK.AA.J...GMJEE.GMJHHIIM
0 5 0  CBB...C..DD.KKAA..J...GMJEE.GMJHHIIM
0 5 0  CBB...C...DDKKAA..J...GMJEE.GMJHHIIM
0 5 0  CBB...CDD...KK.AA.J...GMJEE.GMJHHIIM
0 4 0  CBB...C.DD..KK..AAJ...GMJEE.GMJHHIIM
