0 0 3  I...CCIJDD.FIJAALFEEK.LH..K..H.GGGBB
0 1 2  I...CCIJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 2 2  IJ..CCIJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 2 2  ICC...IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 3 2  IJ.CC.IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 2  IJ..CCIJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 2  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 2  IJ.CC.IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 2  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 5 2  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 5 2  IJ.CC.IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 4 2  IJCC..IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 4 2  IJ.CC.IJDD.FIAA..FEEK.LH..K.LH.GGGBB
0 6 2  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 5 2  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 7 2  I.CC..IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 7 2  IJCC..IJDD.FI.KAAFEEK.LH....LH.GGGBB
0 7 2  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 8 2  I.CC..IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 8 2  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 8 2  IJ.CC.IJDD.FI.KAAFEEK.LH....LH.GGGBB
0 8 2  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 9 2  ICC...IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 9 2  I..CC.IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 8 2  IJ..CCIJDD.FI.KAAFEEK.LH....LH.GGGBB
0 8 2  I.CC..IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 8 2  IJCCL.IJDDLFI.AA.FEEK..H..K..H.GGGBB
0 9 2  I..CC.IJDD.FIJKAAFEEK.LH....LH.GGGBB
0 10 2  ICC...IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 10 2  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 9 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
0 9 2  I...CCIJDD.FIJKAAFEEK.LH....LH.GGGBB
0 10 2  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 11 2  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 10 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 10 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 6 2  IJCC..IJDD.FI.KAAFEEK.LH....LH.GGGBB
0 6 2  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 8 2  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 8 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 8 2  ICC...IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 11 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 11 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 6 2  I.CC..IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 11 2  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 9 2  IJCCL.IJDDLFI..AAFEEK..H..K..H.GGGBB
0 9 2  IJCCL.IJDDLFIAA..FEEK..H..K..H.GGGBB
0 9 2  I.CCL.IJDDLFIJAA.FEEK..H..K..H.GGGBB
0 10 2  IJCCL.IJDDLFI.KAAFEEK..H.....H.GGGBB
0 2 2  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 2 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 3 2  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 4 2  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 5 2  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 11 2  I.CCL.IJDDLFIJKAAFEEK..H.....H.GGGBB
0 6 2  IJ.CC.IJDD.FI.KAAFEEK.LH....LH.GGGBB
0 5 2  IJCCL.IJDDLFIAA..FEEK..H..K..H.GGGBB
0 3 2  ICC...IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 4 2  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 6 2  I..CC.IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 6 2  IJCC..IJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 12 2  I.CCL.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
0 12 2  ICC.L.IJDDLFIJKAAFEEK..H.....H.GGGBB
0 6 2  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 11 2  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 11 2  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 13 2  ICC.L.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
0 13 2  ICC.L.IJDDLFIJ.AAFEEK..H..K..H.GGGBB
0 2 2  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
