0 0 3  J..CCCJDD..MJAAL.MFF.L.NBB.GGN.HH...
0 1 4  JCCC..JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 2 2  JCCC.MJDD..MJAAL..FF.L.NBB.GGN.HH...
0 3 2  J.CCCMJDD..MJAAL..FF.L.NBB.GGN.HH...
0 3 2  JCCC.MJDDL.MJAAL..FF...NBB.GGN.HH...
0 3 2  JCCC.MJ..DDMJAAL..FF.L.NBB.GGN.HH...
0 3 2  JCCC.MJ.DD.MJAAL..FF.L.NBB.GGN.HH...
0 4 2  JCCC.MJDDL.MJAAL..FF....BB.GGN.HH..N
0 4 2  JCCC.MJ..DDMJAAL..FF.L..BB.GGN.HH..N
0 4 2  J.CCCMJ.DD.MJAAL..FF.L.NBB.GGN.HH...
0 4 2  JCCC.MJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 5 2  J.CCCMJDDL.MJAAL..FF....BB.GGN.HH..N
0 4 2  J.CCCMJ..DDMJAAL..FF.L.NBB.GGN.HH...
0 4 2  JCCC.MJ.DD.MJAAL..FF.L.NBB.GGN.HH...
0 6 2  J.CCCMJDD..MJAAL..FF.L..BB.GGN.HH..N
0 6 2  J.CCCMJDDL.MJAAL..FF...NBB.GGN.HH...
0 5 2  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
0 7 2  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
0 7 2  JCCC.MJDD..MJAAL..FF.L..BB.GGN.HH..N
0 6 2  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 8 2  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 7 2  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 3 2  JCCC.MJDD..MJAAL..FF.L..BB.GGN.HH..N
0 4 2  J.CCCMJDD..MJAAL..FF.L..BB.GGN.HH..N
0 5 2  JCCC.MJDD..MJAAL..FF.L..BB.GGN.HH..N
0 4 2  J.CCCMJDDL.MJAAL..FF...NBB.GGN.HH...
0 5 2  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 5 2  J.CCCMJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 5 2  J.CCCMJ..DDMJAAL..FF.L.NBB.GGN.HH...
0 4 2  J.CCCMJDDL.MJAAL..FF...NBB.GGN.HH...
0 4 2  J.CCCMJ..DDMJAAL..FF.L.NBB.GGN.HH...
0 5 2  JCCC.MJDD..MJAAL..FF.L..BB.GGN.HH..N
0 5 2  JCCC.MJ.DD.MJAAL..FF.L..BB.GGN.HH..N
0 4 2  J.CCCMJ.DD.MJAAL..FF.L.NBB.GGN.HH...
0 5 2  JCCC.MJDD..MJAAL..FF.L..BB.GGN.HH..N
0 5 2  J.CCCMJ..DDMJAAL..FF.L..BB.GGN.HH..N
0 5 4  JCCC..JDDL..JAAL.MFF...MBB.GGN.HH..N
0 7 4  J.CCC.JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 6 4  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 8 4  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 7 4  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 6 4  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 6 4  J.CCC.J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 6 4  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 8 4  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 7 4  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 9 4  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 8 4  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 7 4  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 7 4  J.CCC.J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 7 4  JCCC..J...DDJAAL.MFF.L.MBB.GGN.HH..N
0 9 4  J..CCCJ...DDJAAL.MFF.L.MBB.GGN.HH..N
0 9 4  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
0 8 4  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
0 10 4  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
0 9 4  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
0 8 4  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 8 4  J.CCC.J..LDDJAAL.MFF...MBB.GGN.HH..N
0 8 4  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 10 4  J..CCCJ..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 10 4  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
0 9 4  J.CCCMJDDL.MJAAL.NFF...NBB.GG..HH...
0 11 4  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
0 10 4  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
0 9 4  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 9 4  J..CCCJ..LDDJAAL.MFF...MBB.GGN.HH..N
0 9 4  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 11 4  J..CCCJ..DDMJAAL.MFF.L..BB.GGN.HH..N
0 11 4  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 10 4  JCCC.MJDDL.MJAAL.NFF...NBB.GG..HH...
0 12 4  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 11 4  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 10 4  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 10 4  JCCC..J..LDDJAAL.MFF...MBB.GGN.HH..N
0 10 4  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 12 4  J..CCCJ..DDMJAAL.MFF.L.NBB.GGN.HH...
0 12 4  J..CCCJ.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 11 4  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
0 12 4  J..CCCJDD..MJAAL.MFF.L..BB.GGN.HH..N
0 12 4  J.CCC.J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 11 4  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 11 4  J..CCCJ..DDMJAAL.MFF.L.NBB.GGN.HH...
0 11 4  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 13 4  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 13 4  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 12 4  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 13 4  J..CCCJDD...JAAL.MFF.L.MBB.GGN.HH..N
0 13 4  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 12 4  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 12 4  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 12 4  JCCC..J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 14 4  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 14 4  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 13 4  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 14 4  J..CCCJ.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 14 4  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 13 4  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 13 4  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 13 4  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 15 4  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 15 4  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 15 4  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 15 4  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 15 4  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 15 4  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 14 4  J.CCC.J.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 14 4  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 16 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 4  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 16 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 16 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 15 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 15 4  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 17 4  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
