0 0 3  .HHD..CC.D.MAA.L.MJK.LEEJKGG...BB.II
0 1 2  .HHD.MCC.D.MAA.L..JK.LEEJKGG...BB.II
0 2 1  .HHD.MCC.D.MAA.L..JK.LEEJK..GG.BB.II
0 3 0  .HHD.MCC.D.MAA....JK.LEEJK.LGG.BB.II
0 3 0  .HHD.MCC.D.MAA....JK..EEJK.LGG.BBLII
0 4 0  .HHD.MCC.D.M.AA...JK.LEEJK.LGG.BB.II
0 4 0  .HHD.MCC.D.M..AA..JK.LEEJK.LGG.BB.II
0 4 0  .HHD.MCC.D.MAA....JK.EE.JK.LGG.BBLII
0 4 0  .HHD.MCC.D.MAA.....K..EEJK.LGGJBBLII
0 5 0  .HHD.MCC.D.MJAA...JK.LEE.K.LGG.BB.II
0 5 0  .HHD.MCC.D.M.AA...JK..EEJK.LGG.BBLII
0 5 0  .HHD.MCC.D.M..AA..JK..EEJK.LGG.BBLII
0 5 0  .HHD.MCC.D.MAA.....K.LEEJK.LGGJBB.II
0 5 0  .HHD.MCC.D.MAA.....K.EE.JK.LGGJBBLII
0 6 0  .HHD.MCC.D.MJ.AA..JK.LEE.K.LGG.BB.II
0 6 0  .HHD.MCC.D.M.AA....K..EEJK.LGGJBBLII
0 6 0  .HHD.MCC.D.M..AA...K..EEJK.LGGJBBLII
0 5 0  .HHD.MCC.D.M....AA.K..EEJK.LGGJBBLII
