0 0 0  BBI.....I.K.GHAAKLGHDDKLG...EEFFJJ..
0 1 0  BBI.K...I.K.GHAAKLGHDD.LG...EEFFJJ..
0 1 0  BBI.....I.K.GHAAKLGHDDKLG.EE..FFJJ..
0 1 0  BBI.....I.K.GHAAKLGHDDKLG..EE.FFJJ..
0 1 0  BBI.....I.KLGHAAKLGHDDK.G...EEFFJJ..
0 2 0  BBI.K...I.K.GHAAKLGHDD.LG.EE..FFJJ..
0 2 0  BBI.K...I.K.GHAAKLGHDD.LG.EE..FFJJ..
0 2 0  BBI.....I.K.GHAAK.GHDDKLG..EELFFJJ..
0 2 0  BBI.....I.KLGHAAKLGHDDK.G.EE..FFJJ..
0 2 0  BBI.....I.KLGHAAKLGHDDK.G..EE.FFJJ..
0 2 0  BBI.K...I.K.GHAAKLGHDD.LG..EE.FFJJ..
0 2 0  BBI.K...I.KLGHAAKLGHDD..G...EEFFJJ..
0 2 0  BBI.....I.KLGHAAKLGHDDK.G..EE.FFJJ..
0 2 0  BBI.K...I.K.GHAAKLGH.DDLG...EEFFJJ..
0 2 0  BBI.....I.K.GHAAK.GHDDKLG.EE.LFFJJ..
0 2 0  BBI.K...I.K.GHAAKLGHDD.LG..EE.FFJJ..
0 2 0  BBI.....I...GHAA.LGHDDKLG.EEK.FFJJK.
0 2 0  BBI.K...I.KLGHAAKLGHDD..G...EEFFJJ..
0 2 0  BBI.....I...GHAAKLGHDDKLG.EEK.FFJJ..
0 2 0  BBI.....I.KLGHAAKLGHDDK.G.EE..FFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G.EE..FFJJ..
0 3 0  BBI.....I...GHAA.LGHDDKLG.EEK.FFJJK.
0 3 0  BBI.K...I.K.GHAAK.GHDD.LG..EELFFJJ..
0 3 0  BBI.K...I.KLGHAAKLGH.DD.G...EEFFJJ..
0 3 0  BBI.....I...GHAAK.GHDDKLG.EEKLFFJJ..
0 3 0  BBI.....I..LGHAA.LGHDDK.G.EEK.FFJJK.
0 3 0  BBI.K...I.KLGHAAKLGHDD..G.EE..FFJJ..
0 3 0  BBI.....I...GHAA.LGHDDKLG.EEK.FFJJK.
0 3 0  BBI.K...I.KLGHAAKLGH..DDG...EEFFJJ..
0 3 0  BBI.K...I.KLGHAAKLGH.DD.G...EEFFJJ..
0 3 0  BBI.....I.K.GHAAK.GHDDKLG.EE.LFFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G..EE.FFJJ..
0 3 0  BBI.K...I.K.GHAAKLGH.DDLG..EE.FFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G..EE.FFJJ..
0 3 0  BBI.....I..LGHAAKLGHDDK.G.EEK.FFJJ..
0 3 0  BBI.....I..LGHAA.LGHDDK.G.EEK.FFJJK.
0 3 0  BBI.K...I.KLGHAAKLGHDD..G.EE..FFJJ..
0 3 0  BBI.K...I.K.GHAAK.GHDD.LG..EELFFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G..EE.FFJJ..
0 3 0  BBI.K...I.K.GHAAKLGH.DDLG..EE.FFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G..EE.FFJJ..
0 3 0  BBI.K...I.K.GHAAK.GHDD.LG.EE.LFFJJ..
0 3 0  BBI.....I..LGHAAKLGHDDK.G.EEK.FFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G.EE..FFJJ..
0 3 0  BBI.....I...GHAAKLGHDDKLG.EEK.FFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G..EE.FFJJ..
0 3 0  BBI.....I..LGHAAKLGHDDK.G.EEK.FFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G.EE..FFJJ..
0 3 0  BBI.K...I.K.GHAAKLGH.DDLG.EE..FFJJ..
0 3 0  BBI.K...I.KLGHAAKLGH..DDG...EEFFJJ..
0 3 0  BBI.K...I.KLGHAAKLGH.DD.G...EEFFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G.EE..FFJJ..
0 3 0  BBI.....I...GHAA..GHDDKLG.EEKLFFJJK.
0 3 0  BBI.....I...GH.AALGHDDKLG.EEK.FFJJK.
0 3 0  BBI.....I...GHAA..GHDDKLG.EEKLFFJJK.
0 3 0  BBI.....I...GHAAKLGHDDKLG.EEK.FFJJ..
0 3 0  BBI.K...I.K.GHAAK.GHDD.LG.EE.LFFJJ..
0 3 0  BBI.....I..LGHAA.LGHDDK.G.EEK.FFJJK.
0 3 0  BBI.K...I.K.GHAAKLGH.DDLG..EE.FFJJ..
0 3 0  BBI.....I...GHAAKLGHDDKLG.EEK.FFJJ..
0 3 0  BBI.K...I.KLGHAAKLGHDD..G..EE.FFJJ..
0 3 0  BBI.K...I.K.GHAAK.GHDD.LG..EELFFJJ..
0 3 0  BBI.....I...GHAAK.GHDDKLG.EEKLFFJJ..
0 3 0  BBI.K...I.K.GHAAKLGH.DDLG.EE..FFJJ..
0 3 0  BBI.K...I.K.GHAAK.GHDD.LG.EE.LFFJJ..
0 3 0  BBI.K...I.K.GHAAKLGH.DDLG.EE..FFJJ..
0 4 0  BBI.....I..LGHAA.LGHDDK.G.EEK.FFJJK.
0 4 0  BBI.K...I.K.GHAAK.GHDD.LG.EE.LFFJJ..
0 4 0  BBI.....I..LGHAAKLGHDDK.G.EEK.FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G..EE.FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G..EE.FFJJ..
0 4 0  BBI.K...I.K.GHAAK.GH.DDLG.EE.LFFJJ..
0 4 0  BBI.K...I.K.GHAAK.GH.DDLG.EE.LFFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G..EE.FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G.EE..FFJJ..
0 4 0  BBI.....I...GHAA..GHDDKLG.EEKLFFJJK.
0 4 0  BBI.K...I.K.GHAAK.GHDD.LG.EE.LFFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G.EE..FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G..EE.FFJJ..
0 4 0  BBI.....I..LGH.AALGHDDK.G.EEK.FFJJK.
0 4 0  BBI.K...I.KLGHAAKLGH..DDG.EE..FFJJ..
0 4 0  BBI.....I...GH.AALGHDDKLG.EEK.FFJJK.
0 4 0  BBI.....I...GHAA..GHDDKLG.EEKLFFJJK.
0 4 0  BBI.K...I.KLGHAAKLGH..DDG.EE..FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G.EE..FFJJ..
0 4 0  BBI.....I..LGHAAKLGHDDK.G.EEK.FFJJ..
0 4 0  BBI.....I...GHAA..GHDDKLG.EEKLFFJJK.
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G..EE.FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH..DDG..EE.FFJJ..
0 4 0  BBI.K...I.K.GHAAK.GHDD.LG.EE.LFFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G.EE..FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH..DDG..EE.FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G.EE..FFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH..DDG...EEFFJJ..
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G..EE.FFJJ..
0 4 0  BBI.....I..LGH.AALGHDDK.G.EEK.FFJJK.
0 4 0  BBI.....I...GH.AA.GHDDKLG.EEKLFFJJK.
0 4 0  BBI.....I...GH.AA.GHDDKLG.EEKLFFJJK.
0 4 0  BBI.K...I.KLGHAAKLGH.DD.G.EE..FFJJ..
0 4 0  BBI.....I...GH..AAGHDDKLG.EEKLFFJJK.
