0 0 0  JBB.CCJDD..MJAA..M...L..F..LNNFHHKK.
0 1 0  JBBLCCJDDL.MJAA..M......F...NNFHHKK.
0 1 0  JBB.CCJDDL.MJAAL.M......F...NNFHHKK.
0 1 0  JBB.CCJDD..MJ.AA.M...L..F..LNNFHHKK.
0 1 0  JBB.CCJDD...JAA..M...L.MF..LNNFHHKK.
0 1 0  JBB.CCJDD..MJAAL.M...L..F...NNFHHKK.
0 1 0  J.BBCCJDD..MJAA..M...L..F..LNNFHHKK.
0 1 0  JBB.CCJ..DDMJAA..M...L..F..LNNFHHKK.
0 1 0  JBB.CCJ.DD.MJAA..M...L..F..LNNFHHKK.
0 1 0  JBB.CCJDD..MJ..AAM...L..F..LNNFHHKK.
0 2 0  JBBLCCJDDL.MJAA..M......F.NN..FHHKK.
0 2 0  JBBLCCJDDL.MJAA..M......F..NN.FHHKK.
0 2 0  JBB.CCJDD...J.AA.M...L.MF..LNNFHHKK.
0 2 0  JBB.CCJDD...JAAL.M...L.MF...NNFHHKK.
0 2 0  JBB.CCJ.DD..JAA..M...L.MF..LNNFHHKK.
0 2 0  JBB.CCJDD...J..AAM...L.MF..LNNFHHKK.
0 2 0  JBB.CCJ...DDJAA..M...L.MF..LNNFHHKK.
0 2 0  JBBLCCJDDL.MJAA..M......FNN...FHHKK.
0 2 0  JBB.CCJ..DD.JAA..M...L.MF..LNNFHHKK.
0 2 0  JBB.CCJ.DD..JAA..M...L.MF..LNNFHHKK.
0 2 0  JBB.CCJ..DDMJ..AAM...L..F..LNNFHHKK.
0 2 0  JBBLCCJDDL..JAA..M.....MF...NNFHHKK.
0 2 0  JBB.CCJDDL.MJAAL.M......F..NN.FHHKK.
0 2 0  JBB.CCJDDL..JAAL.M.....MF...NNFHHKK.
0 2 0  JBB.CCJ.DD.MJ..AAM...L..F..LNNFHHKK.
0 2 0  J.BBCCJDD..MJ..AAM...L..F..LNNFHHKK.
0 2 0  J.BBCCJDD...JAA..M...L.MF..LNNFHHKK.
0 2 0  JBB.CCJ.DD.MJ..AAM...L..F..LNNFHHKK.
0 2 0  JBB.CCJ.DD.MJ.AA.M...L..F..LNNFHHKK.
0 2 0  JBB.CCJDD..MJAAL.M...L..F...NNFHHKK.
0 2 0  JBBLCCJDDL..JAA..M.....MF...NNFHHKK.
0 2 0  JBB.CCJ.DD.MJAAL.M...L..F...NNFHHKK.
0 2 0  J.BBCCJ.DD.MJAA..M...L..F..LNNFHHKK.
0 2 0  JBB.CCJDD..MJ..AAM...L..F..LNNFHHKK.
0 2 0  JBB.CCJ..DDMJ..AAM...L..F..LNNFHHKK.
0 2 0  JBB.CCJ..DDMJ.AA.M...L..F..LNNFHHKK.
0 2 0  JBBLCCJDDL.MJ..AAM......F...NNFHHKK.
0 2 0  JBB.CCJ..DDMJ.AA.M...L..F..LNNFHHKK.
0 2 0  JBB.CCJDD...J..AAM...L.MF..LNNFHHKK.
0 2 0  JBB.CCJ..DDMJAAL.M...L..F...NNFHHKK.
0 2 0  JBB.CCJ..DD.JAA..M...L.MF..LNNFHHKK.
0 2 0  JBB.CCJ.DD.MJAA..M...L..F..LNNFHHKK.
0 2 0  JBB.CCJ.DD.MJ.AA.M...L..F..LNNFHHKK.
0 2 0  J.BBCCJ..DDMJAA..M...L..F..LNNFHHKK.
0 2 0  J.BBCCJDD..MJ..AAM...L..F..LNNFHHKK.
0 2 0  JBBLCCJDDL.MJ.AA.M......F...NNFHHKK.
0 2 0  J.BBCCJDD..MJ.AA.M...L..F..LNNFHHKK.
0 2 0  J.BBCCJDD..MJ.AA.M...L..F..LNNFHHKK.
0 2 0  J.BBCCJDD..MJAAL.M...L..F...NNFHHKK.
0 2 0  JBB.CCJDDL.MJAAL.M......F.NN..FHHKK.
0 2 0  J.BBCCJ..DDMJAA..M...L..F..LNNFHHKK.
0 2 0  J.BBCCJ.DD.MJAA..M...L..F..LNNFHHKK.
0 2 0  JBB.CCJDDL.MJAAL.M......F...NNFHHKK.
0 2 0  JBB.CCJDDL.MJAAL.M......FNN...FHHKK.
0 2 0  J.BBCCJDDL.MJAAL.M......F...NNFHHKK.
0 2 0  J.BBCCJDD...JAA..M...L.MF..LNNFHHKK.
0 2 0  JBB.CCJDD..MJAAL.M...L..F.NN..FHHKK.
0 2 0  JBB.CCJDDL..JAAL.M.....MF...NNFHHKK.
0 2 0  JBB.CCJDD..MJAAL.M...L..FNN...FHHKK.
0 2 0  JBB.CCJDD...JAAL.M...L.MF...NNFHHKK.
0 2 0  JBB.CCJDD..MJAAL.M...L..F...NNFHHKK.
0 2 0  JBB.CCJ..DDMJAAL.M...L..F...NNFHHKK.
0 2 0  JBB.CCJDD..MJAAL.M...L..F..NN.FHHKK.
0 2 0  JBB.CCJ.DD.MJAAL.M...L..F...NNFHHKK.
0 2 0  J.BBCCJDDL.MJAAL.M......F...NNFHHKK.
0 2 0  J.BBCCJDD..MJAAL.M...L..F...NNFHHKK.
0 2 0  JBB.CCJDD...J.AA.M...L.MF..LNNFHHKK.
0 3 0  JBBLCCJDDL.MJAA..M......F..NN.FHHKK.
0 3 0  JBBLCCJDDL..JAA.........F.NN.MFHHKKM
0 3 0  JBB.CCJDD...J..AAM...L.MF..LNNFHHKK.
0 3 0  JBBLCCJDDL..JAA.........FNN..MFHHKKM
0 3 0  JBB.CCJDDL..JAAL.M.....MF.NN..FHHKK.
0 3 0  J.BBCCJ.DD.MJ..AAM...L..F..LNNFHHKK.
0 3 0  J.BBCCJ.DD.MJAAL.M...L..F...NNFHHKK.
0 3 0  J.BBCCJDD..MJAAL.M...L..F..NN.FHHKK.
0 3 0  JBB.CCJ...DDJ.AA.M...L.MF..LNNFHHKK.
0 3 0  JBB.CCJDD...JAAL.....L.MF..NNMFHHKK.
0 3 0  JBB.CCJDDL..JAAL.M.....MFNN...FHHKK.
0 3 0  JBB.CCJDD...JAAL.M...L.MF..NN.FHHKK.
0 3 0  JBB.CCJ..DDMJAAL.M...L..F..NN.FHHKK.
0 3 0  JBBLCCJDDL.MJAA..M......FNN...FHHKK.
0 3 0  J.BBCCJDDL..JAAL.M.....MF...NNFHHKK.
0 3 0  JBB.CCJ.DD.MJAAL.M...L..F..NN.FHHKK.
0 3 0  J.BBCCJDD..MJAAL.M...L..F..NN.FHHKK.
0 3 0  JBB.CCJDDL..JAAL.......MF..NNMFHHKK.
0 3 0  JBB.CCJ..DDMJAAL.M...L..F.NN..FHHKK.
0 3 0  JBB.CCJ..DDMJAAL.M...L..FNN...FHHKK.
0 3 0  JBBLCCJDDL..JAA..M.....MF.NN..FHHKK.
0 3 0  JBBLCCJDDL..JAA.........F..NNMFHHKKM
