0 0 0  JBB...JDD..MJAA..MCC.L..F..LNNFHHKK.
0 1 0  JBBL..JDDL.MJAA..MCC....F...NNFHHKK.
0 1 0  JBB...JDDL.MJAAL.MCC....F...NNFHHKK.
0 1 0  JBB...JDD..MJAA..M.CCL..F..LNNFHHKK.
0 1 0  JBB...JDD..MJAA..MCC.L..F..LNNFHH.KK
0 1 0  JBB...JDD..MJ..AAMCC.L..F..LNNFHHKK.
0 1 0  JBB..MJDD..MJAA...CC.L..F..LNNFHHKK.
0 1 0  JBB...JDD..MJ.AA.MCC.L..F..LNNFHHKK.
0 1 0  JBB...JDD..MJAAL.MCC.L..F...NNFHHKK.
0 1 0  JBB...JDD...JAA..MCC.L.MF..LNNFHHKK.
0 2 0  JBBL..JDDL.MJAA..M..CC..F...NNFHHKK.
0 2 0  JBBL..JDDL.MJAA..MCC....F...NNFHH.KK
0 2 0  JBB...JDDL.MJAAL.MCC....F..NN.FHHKK.
0 2 0  JBB...JDD..MJAA..M.CCL..F..LNNFHH.KK
0 2 0  JBB...JDD..MJ.AA.M.CCL..F..LNNFHHKK.
0 2 0  JBB...JDD..MJAAL.MCC.L..F...NNFHH.KK
0 2 0  JBB...JDD...JAA..MCC.L.MF..LNNFHH.KK
0 2 0  JBB..MJDD..MJ.AA..CC.L..F..LNNFHHKK.
0 2 0  JBB...JDDL.MJAAL.MCC....F.NN..FHHKK.
0 2 0  JBB...JDD...JAA..MCC.L.MF..LNNFHHKK.
0 2 0  JBB..MJDD..MJAA....CCL..F..LNNFHHKK.
0 2 0  JBB...JDD..MJAAL.MCC.L..F...NNFHHKK.
0 2 0  JBB...JDDL.MJAAL.MCC....FNN...FHHKK.
0 2 0  JBB..MJDD..MJ...AACC.L..F..LNNFHHKK.
