0 0 0  .IBB..JIDD..JAACC.EEK.LL..KFF..GGHH.
0 1 0  JIBB..JIDD...AACC.EEK.LL..KFF..GGHH.
0 1 0  .IBB..JIDD..JAACC.EEK.LL..KFF.GG.HH.
0 1 0  .IBB..JIDD..JAACC.EEK.LL..KFF..GG.HH
0 1 0  .IBB..JIDD..JAA...EEK.LL..KFF..GGHH.
0 2 0  JIBB..JIDD...AACC.EEK.LL..KFF.GG.HH.
0 2 0  JIBB..JIDD...AACC.EEK.LL..KFF.GG.HH.
0 2 0  .IBB..JIDD..JAACC.EEK.LL..KFF...GGHH
0 2 0  .IBB..JIDD..J.AA..EEK.LL..KFF..GGHH.
0 2 0  .IBB..JIDD..JAA...EEK.LL..KFF..GG.HH
0 2 0  JIBB..JIDD...AA...EEK.LL..KFF..GGHH.
0 2 0  JIBB..JIDD...AACC.EEK.LL..KFF..GG.HH
0 2 0  .IBB..JIDD..JAACC.EEK.LL..KFF.GG..HH
0 2 0  .IBB..JIDD..JAA...EEK.LL..KFF..GG.HH
0 2 0  JIBB..JIDD...AA...EEK.LL..KFF..GGHH.
0 2 0  .IBB..JIDD..JAACC.EEK.LL..KFF.GGHH..
0 2 0  JIBB..JIDD...AACC.EEK.LL..KFF..GG.HH
0 2 0  .IBB..JIDD..JAACC.EEK.LL..KFF.GG..HH
0 2 0  JIBB..JIDD..AA.CC.EEK.LL..KFF..GGHH.
0 2 0  .IBB..JIDD..JAACC.EE..LL..KFF.GGKHH.
0 2 0  .IBB..JIDD..JAA...EEK.LL..KFF.GG.HH.
0 2 0  .IBB..JIDD..JAA...EEK.LL..KFF.GG.HH.
0 2 0  .IBB..JIDD..J...AAEEK.LL..KFF..GGHH.
