0 0 0  JBBKK.JDD..MJAA..M...L..F..LNNFHHCC.
0 1 0  JBBKKMJDD..MJAA......L..F..LNNFHHCC.
0 1 0  JBBKK.JDD..MJ..AAM...L..F..LNNFHHCC.
0 1 0  JBBKK.JDD..MJAA..M...L..F..LNNFHH.CC
0 1 0  JBBKK.JDD..MJ.AA.M...L..F..LNNFHHCC.
0 1 0  JBBKK.JDD...JAA..M...L.MF..LNNFHHCC.
0 1 0  .BBKK.JDD..MJAA..MJ..L..F..LNNFHHCC.
0 2 0  JBBKKMJDD..MJ..AA....L..F..LNNFHHCC.
0 2 0  JBBKKMJDD..MJAA......L..F..LNNFHH.CC
0 2 0  JBBKKMJDD..MJAA......L..F..LNNFHH.CC
0 2 0  JBBKK.JDD...JAA..M...L.MF..LNNFHH.CC
0 2 0  .BBKK.JDD...JAA..MJ..L.MF..LNNFHHCC.
0 2 0  .BBKK.JDD..MJAA..MJ..L..F..LNNFHH.CC
0 2 0  JBBKK.JDD...J..AAM...L.MF..LNNFHHCC.
0 2 0  .BBKK.JDD..MJ..AAMJ..L..F..LNNFHHCC.
0 2 0  .BBKK.JDD..MJ.AA.MJ..L..F..LNNFHHCC.
0 2 0  JBBKKMJDD..MJ.AA.....L..F..LNNFHHCC.
0 2 0  .BBKK.JDD..MJ..AAMJ..L..F..LNNFHHCC.
0 2 0  .BBKKMJDD..MJAA...J..L..F..LNNFHHCC.
0 2 0  BB.KK.JDD..MJAA..MJ..L..F..LNNFHHCC.
0 2 0  JBBKK.JDD..MJ.AA.M...L..F..LNNFHHCC.
0 2 0  .BBKK.JDD...JAA..MJ..L.MF..LNNFHHCC.
0 2 0  JBBKK.JDD...J..AAM...L.MF..LNNFHHCC.
0 2 0  JBBKKMJDD..MJ..AA....L..F..LNNFHHCC.
0 2 0  JBBKK.JDD..MJ..AAM...L..F..LNNFHH.CC
0 2 0  JBBKK.JDD...J.AA.M...L.MF..LNNFHHCC.
0 2 0  JBBKK.JDD...J.AA.M...L.MF..LNNFHHCC.
0 2 0  JBBKK.JDD..MJ.AA.M...L..F..LNNFHH.CC
0 2 0  JBBKK.JDD...JAA..M...L.MF..LNNFHHCC.
0 2 0  .BBKK.JDD..MJ.AA.MJ..L..F..LNNFHHCC.
0 2 0  JBBKKMJDD..MJ.AA.....L..F..LNNFHHCC.
0 2 0  .BBKKMJDD..MJAA...J..L..F..LNNFHHCC.
0 2 0  JBBKK.JDD...JAA..M...L.MF..LNNFHH.CC
0 2 0  JBBKK.JDD..MJAA..M...L..F..LNNF.HHCC
0 2 0  .BBKK.JDD..MJAA..MJ..L..F..LNNFHH.CC
0 2 0  JBBKKMJDD..MJ...AA...L..F..LNNFHHCC.
