0 0 0  IJBBCCIJ.DDLIJAA.L..K.EE..KFF..GGHH.
0 1 0  IJBBCCIJ.DDLIJ.AAL..K.EE..KFF..GGHH.
0 1 0  IJBBCCIJ.DDLIJAA.L..K.EE..K.FF.GGHH.
0 1 0  IJBBCCIJ.DDLIJAA.L..K.EE..KFF..GG.HH
0 1 0  IJBBCCIJ.DDLIJAA.L..KEE...KFF..GGHH.
0 2 0  IJBBCCIJ.DDLIJ.AAL..K.EE..K.FF.GGHH.
0 2 0  IJBBCCIJ.DDLIJ.AAL..K.EE..KFF..GG.HH
0 2 0  IJBBCCIJ.DDLIJAA.L..K.EE..K.FF.GG.HH
0 2 0  IJBBCCIJ.DDLIJAA.L..KEE...K.FF.GGHH.
0 2 0  IJBBCCIJ.DDLIJAA.L..KEE...KFF..GG.HH
0 2 0  IJBBCCIJ.DD.IJAA....KEEL..KFFL.GGHH.
0 2 0  IJBBCCIJ.DDLIJ.AAL..KEE...KFF..GGHH.
0 2 0  IJBBCCIJ.DD.IJAA.L..KEEL..KFF..GGHH.
0 2 0  IJBBCCIJ.DDLIJ.AAL..KEE...KFF..GGHH.
0 2 0  IJBBCCIJ.DDLIJKAAL..K.EE...FF..GGHH.
0 2 0  IJBBCCIJ.DDLIJAA.L..K.EE..K.FF.GG.HH
0 2 0  IJBBCCIJ.DDLIJAA.L..KEE...KFF..GG.HH
0 2 0  IJBBCCIJ.DDLIJ.AAL..K.EE..KFF..GG.HH
0 2 0  IJBBCCIJKDDLIJKAAL....EE...FF..GGHH.
0 2 0  IJBBCCIJ.DDLIJAA.L..KEE...K.FF.GGHH.
0 2 0  IJBBCCIJ.DDLIJ.AAL..K.EE..K.FF.GGHH.
0 2 0  IJBBCCIJ.DD.IJAA....KEE...KFFL.GGHHL
0 3 0  IJBBCCIJ.DDLIJ.AAL..K.EE..K.FF.GG.HH
0 3 0  IJBBCCIJ.DDLIJAA.L..KEE...K.FF.GG.HH
0 3 0  IJBBCCIJ.DD.IJ..AA..KEEL..KFFL.GGHH.
