0 0 0  JBB...J.DD.MJAA..MFFK..L..KNNL.HHGG.
0 1 0  JBB..MJ.DD.MJAA...FFK..L..KNNL.HHGG.
0 1 0  JBB...J..DDMJAA..MFFK..L..KNNL.HHGG.
0 1 0  JBB...J.DD.MJAA..MFFK..L..KNNL.HH.GG
0 1 0  JBB...JDD..MJAA..MFFK..L..KNNL.HHGG.
0 1 0  JBB...J.DD.MJ..AAMFFK..L..KNNL.HHGG.
0 1 0  JBB...J.DD.MJ.AA.MFFK..L..KNNL.HHGG.
0 2 0  JBB..MJ..DDMJAA...FFK..L..KNNL.HHGG.
0 2 0  JBB..MJ.DD.MJAA...FFK..L..KNNL.HH.GG
0 2 0  JBB..MJ.DD.MJAA...FFK..L..KNNL.HH.GG
0 2 0  JBB...J.DD.MJ..AAMFFK..L..KNNL.HH.GG
0 2 0  JBB...J.DD.MJ.AA.MFFK..L..KNNL.HH.GG
0 2 0  JBB...J..DDMJ..AAMFFK..L..KNNL.HHGG.
0 2 0  JBB...J..DDMJ.AA.MFFK..L..KNNL.HHGG.
0 2 0  JBB...JDD..MJ.AA.MFFK..L..KNNL.HHGG.
0 2 0  JBB..MJDD..MJAA...FFK..L..KNNL.HHGG.
0 2 0  JBB...J..DDMJ.AA.MFFK..L..KNNL.HHGG.
0 2 0  JBB..MJ.DD.MJ.AA..FFK..L..KNNL.HHGG.
0 2 0  JBB...J.DD.MJ.AA.MFFK..L..KNNL.HHGG.
0 2 0  JBB...JDD..MJAA..MFFK..L..KNNL.HHGG.
0 2 0  JBB...J.DD.MJ.KAAMFFK..L...NNL.HHGG.
0 2 0  JBB...J..DDMJ..AAMFFK..L..KNNL.HHGG.
0 2 0  JBB..MJ..DDMJAA...FFK..L..KNNL.HHGG.
0 2 0  JBB...J..DDMJAA..MFFK..L..KNNL.HH.GG
0 2 0  JBB...JDD..MJAA..MFFK..L..KNNL.HH.GG
0 2 0  JBB...JDD..MJ..AAMFFK..L..KNNL.HHGG.
0 2 0  JBB..MJ.DD.MJ..AA.FFK..L..KNNL.HHGG.
0 2 0  JBB..MJ.DD.MJ...AAFFK..L..KNNL.HHGG.
