0 0 0  CBB...C.DD.MKKAAGMJ...GMJEE...JHH.II
0 1 0  CBB..MC.DD.MKKAAGMJ...G.JEE...JHH.II
0 1 0  CBB...C.DDGMKKAAGMJ....MJEE...JHH.II
0 1 0  CBB...C.DD..KKAAGMJ...GMJEE..MJHH.II
0 1 0  CBB...C.DD.MKKAAGMJ...GMJEE...JHHII.
0 1 0  CBB...CDD..MKKAAGMJ...GMJEE...JHH.II
0 1 0  CBB...C.DD.MKKAA.MJ...GMJEE.G.JHH.II
0 1 0  CBB...C..DDMKKAAGMJ...GMJEE...JHH.II
0 2 0  CBB..MCDD..MKKAAGMJ...G.JEE...JHH.II
0 2 0  CBB...C.DDG.KKAAGMJ....MJEE..MJHH.II
0 2 0  CBB...CDD...KKAAGMJ...GMJEE..MJHH.II
0 2 0  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHH.II
0 2 0  CBB...C.DD.MKKAA.MJ...GMJEE.G.JHHII.
0 2 0  CBB...C..DDMKKAAGMJ...GMJEE...JHHII.
0 2 0  CBB...CDD...KKAAGMJ...GMJEE..MJHH.II
0 2 0  CBB...C.DDGMKKAAGMJ....MJEE...JHHII.
0 2 0  CBB...CDD..MKKAA.MJ...GMJEE.G.JHH.II
0 2 0  CBB...C..DDMKKAAGMJ...GMJEE...JHH.II
0 2 0  CBB..MC.DD.MKKAAGMJ...G.JEE...JHHII.
0 2 0  CBB...CDD.GMKKAAGMJ....MJEE...JHH.II
0 2 0  CBB...CDD.GMKKAAGMJ....MJEE...JHH.II
0 2 0  CBB..MCDD..MKKAAGMJ...G.JEE...JHH.II
0 2 0  CBB..MC.DDGMKKAAGMJ.....JEE...JHH.II
0 2 0  CBB...C.DD..KKAAGMJ...GMJEE..MJHHII.
0 2 0  CBB...C.DD.MKKAA.MJ...GMJEE.G.JHHII.
0 2 0  CBB...C.DD..KKAAGMJ...GMJEE..MJHH.II
0 2 0  CBB...C.DD..KKAAGMJ...GMJEE..MJHHII.
0 2 0  CBB...C..DDMKKAAGMJ...GMJEE...JHHII.
0 2 0  CBB...CDD..MKKAAGMJ...GMJEE...JHHII.
0 2 0  CBB...C.DDGMKKAAGMJ....MJEE...JHHII.
0 2 0  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHH.II
0 2 0  CBB...CDD..MKKAAGMJ...GMJEE...JHHII.
0 2 0  CBB..MC.DD.MKKAAGMJ...G.JEE...JHHII.
0 2 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHH.II
0 2 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHH.II
0 2 0  CBB...C.DD..KKAAG.J...GMJEE..MJHHIIM
0 2 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHH.II
0 2 0  CBB...C...DDKKAAGMJ...GMJEE..MJHH.II
0 2 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHH.II
0 2 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHH.II
0 2 0  CBB..MC.DDGMKKAAGMJ.....JEE...JHH.II
0 2 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHH.II
0 2 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHH.II
0 2 0  CBB...C.DD.MKK.AAMJ...GMJEE.G.JHH.II
0 2 0  CBB...C.DDG.KKAAGMJ....MJEE..MJHH.II
0 2 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHH.II
0 2 0  CBB...CDD..MKKAA.MJ...GMJEE.G.JHH.II
0 3 0  CBB..MCDD..MKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB...CDD...KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHH.II
0 3 0  CBB...CDD...KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB..MC.DDGMKKAAGMJ.....JEE...JHHII.
0 3 0  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHHII.
0 3 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...CDD..MKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB..MC..DDMKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB...CDD.G.KKAAGMJ....MJEE..MJHH.II
0 3 0  CBB..MC.DDGMKKAAGMJ.....JEE...JHHII.
0 3 0  CBB..MCDD..MKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB...C.DDG.KKAAGMJ....MJEE..MJHHII.
0 3 0  CBB...C..DD.KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...CDD...KKAAGMJ...GMJEE..MJHHII.
0 3 0  CBB...CDD..MKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...C..DDMKKAA.MJ...GMJEE.G.JHHII.
0 3 0  CBB...CDD.GMKKAAGMJ....MJEE...JHHII.
0 3 0  CBB..MCDD..MKKAAGMJ...G.JEE...JHHII.
0 3 0  CBB..MC.DD.MKKAA.MJ...G.JEE.G.JHHII.
0 3 0  CBB...CDD..MKKAAGMJ...GMJEE...JHHII.
0 3 0  CBB...C..DD.KKAAG.J...GMJEE..MJHHIIM
0 3 0  CBB...C.DD..KKAA.MJ...GMJEE.GMJHH.II
