0 0 0  BBDD.MCC...MAAKL..J.KLEEJ.GG...HH.II
0 1 0  BBDD.MCCK..MAAKL..J..LEEJ.GG...HH.II
0 1 0  BBDD.MCC...MAAKL..J.KLEEJGG....HH.II
0 1 0  BBDD.MCC...MAAKL..J.KLEEJ...GG.HH.II
0 1 0  BBDD.MCC.L.MAAKL..J.K.EEJ.GG...HH.II
0 1 0  BBDD.MCC...MAAKL..J.KLEEJ..GG..HH.II
0 2 0  BBDD.MCCK..MAAKL..J..LEEJ..GG..HH.II
0 2 0  BBDD.MCCK..MAAKL..J..LEEJ...GG.HH.II
0 2 0  BBDD.MCC...MAA.L..J.KLEEJ.K.GG.HH.II
0 2 0  BBDD.MCC.L.MAAKL..J.K.EEJ...GG.HH.II
0 2 0  BBDD.MCC...MAA.L..J.KLEEJ.KGG..HH.II
0 2 0  BBDD.MCC.L.MAAKL..J.K.EEJ...GG.HH.II
0 2 0  BBDD.MCCK..MAAKL..J..LEEJGG....HH.II
0 2 0  BBDD.MCCK..MAAKL..J..LEEJ...GG.HH.II
0 2 0  BBDD.MCC...MAAKL..J.KLEEJ...GG.HH.II
0 2 0  BBDD.MCCKL.MAAKL..J...EEJ.GG...HH.II
0 2 0  BBDD.MCC...MAAKL..J.KLEEJ..GG..HH.II
0 2 0  BBDD.MCC...MAAK...J.K.EEJ..LGG.HHLII
0 2 0  BBDD.MCC.L.MAAKL..J.K.EEJ..GG..HH.II
0 2 0  BBDD.MCCK..MAAKL..J..LEEJ..GG..HH.II
0 2 0  BBDD.MCC...MAAK...J.KLEEJGGL...HH.II
0 2 0  BBDD.MCC.L.MAAKL..J.K.EEJ..GG..HH.II
0 2 0  BBDD.MCC.L.MAAKL..J.K.EEJGG....HH.II
0 2 0  BBDD.MCC.L.MAAKL..J.K.EEJGG....HH.II
0 2 0  BBDD.MCC...MAAK...J.K.EEJGGL...HHLII
0 2 0  BBDD.MCC.L.MAAKL..J.KEE.J.GG...HH.II
0 2 0  BBDD.MCCKL.MAAKL..J...EEJ.GG...HH.II
0 2 0  BBDD.MCCK..MAAKL..J..LEEJGG....HH.II
0 2 0  BBDD.MCC...MAAKL..J.KLEEJ..GG..HH.II
0 2 0  BBDD.MCC...MAAK...J.KLEEJ..LGG.HH.II
0 3 0  BBDD.MCCK..MAAKL..J..LEEJ...GG.HH.II
0 3 0  BBDD.MCC.L.MAA.L..J.K.EEJ.K.GG.HH.II
0 3 0  BBDD.MCC...MAA....J.K.EEJ.KLGG.HHLII
0 3 0  BBDD.MCCK..MAAK...J...EEJGGL...HHLII
0 3 0  BBDD.MCC.L.MAAKL..J.K.EEJGG....HH.II
0 3 0  BBDD.MCCK..MAAK...J..LEEJGGL...HH.II
0 3 0  BBDD.MCC...MAA....J.KLEEJ.KLGG.HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.J..GG..HH.II
0 3 0  BBDD.MCCK..MAAK...J..LEEJ..LGG.HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ..GG..HH.II
0 3 0  BBDD.MCC...MAAK...J.KEE.J..LGG.HHLII
0 3 0  BBDD.MCC...MAA.L..J.KLEEJ.K.GG.HH.II
0 3 0  BBDD.MCCK..MAAK...J...EEJ..LGG.HHLII
0 3 0  BBDD.MCC...MAAK...J.KLEEJ..LGG.HH.II
0 3 0  BBDD.MCCK..MAAK...J...EEJ..LGG.HHLII
0 3 0  BBDD.MCCK..MAAKL..J..LEEJGG....HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ..GG..HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJGG....HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ...GG.HH.II
0 3 0  BBDD.MCC...MAAK...J.K.EEJ..LGG.HHLII
0 3 0  BBDD.MCC...MAAK...J.K.EEJ..LGG.HHLII
0 3 0  BBDD.MCCKL.MAAKL..J..EE.J.GG...HH.II
0 3 0  BBDD.MCCKL.MAAKL..J.EE..J.GG...HH.II
0 3 0  BBDD.MCC...MAA.L..J.KLEEJ.KGG..HH.II
0 3 0  BBDD.MCCKL.MAAKL..JEE...J.GG...HH.II
0 3 0  BBDD.MCC...MAAK...J.KLEEJ..LGG.HH.II
0 3 0  BBDD.MCCK..MAAKL..J..LEEJGG....HH.II
0 3 0  BBDD.MCC...M.AAL..J.KLEEJ.KGG..HH.II
0 3 0  BBDD.MCCK..MAAK...J..LEEJ..LGG.HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ...GG.HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ..GG..HH.II
0 3 0  BBDD.MCCK..MAAK...J..LEEJGGL...HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJGG....HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.K.EEJ..GG..HH.II
0 3 0  BBDD.MCCK..MAAK...J...EEJ..LGG.HHLII
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ...GG.HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ..GG..HH.II
0 3 0  BBDD.MCCK..MAAK...J...EEJGGL...HHLII
0 3 0  BBDD.MCC...MAAK...J.KLEEJ..LGG.HH.II
0 3 0  BBDD.MCC.L.MAA.L..J.K.EEJ.K.GG.HH.II
0 3 0  BBDD.MCC...MAAK...J.K.EEJ..LGG.HHLII
0 3 0  BBDD.MCC.L.MAAKL..J.K.EEJGG....HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.J...GG.HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.K.EEJ..GG..HH.II
0 3 0  BBDD.MCC.L.MAA.L..J.K.EEJ.KGG..HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ...GG.HH.II
0 3 0  BBDD.MCC.L.MAA.L..J.K.EEJ.KGG..HH.II
0 3 0  BBDD.MCC...MAA....J.K.EEJ.KLGG.HHLII
0 3 0  BBDD.MCCK..MAAK...J..LEEJ..LGG.HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJGG....HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.K.EEJ..GG..HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ..GG..HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJGG....HH.II
0 3 0  BBDD.MCC...MAAK...J.KLEEJ..LGG.HH.II
0 3 0  BBDD.MCC...MAAK...J.K.EEJGGL...HHLII
0 3 0  BBDD.MCC...MAAK...J.K.EEJGGL...HHLII
0 3 0  BBDD.MCCKL.MAAKL..J..EE.J.GG...HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ...GG.HH.II
0 3 0  BBDD.MCCKL.MAAKL..J.EE..J.GG...HH.II
0 3 0  BBDD.MCC.L.MAA.L..J.K.EEJ.K.GG.HH.II
0 3 0  BBDD.MCCKL.MAAKL..JEE...J.GG...HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.J..GG..HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.K.EEJGG....HH.II
0 3 0  BBDD.MCC.L.MAA.L..J.K.EEJ.KGG..HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.JGG....HH.II
0 3 0  BBDD.MCCKL.MAAKL..J..EE.J.GG...HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.J...GG.HH.II
0 3 0  BBDD.MCCK..MAAK...J...EEJGGL...HHLII
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.JGG....HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ...GG.HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJGG....HH.II
0 3 0  BBDD.MCC...MAAK...J.K.EEJGGL...HHLII
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.J...GG.HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.JGG....HH.II
0 3 0  BBDD.MCC...MAA.L..J.KLEEJ.KGG..HH.II
0 3 0  BBDD.MCCKL.MAAKL..J...EEJGG....HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.K.EEJGG....HH.II
0 3 0  BBDD.MCC...MAA....J.KLEEJ.KLGG.HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.KEE.J..GG..HH.II
0 3 0  BBDD.MCC...MAAK...J.KEE.JGGL...HHLII
0 3 0  BBDD.MCCKL.MAAKL..J...EEJ..GG..HH.II
0 3 0  BBDD.MCC...M.AAL..J.KLEEJ.K.GG.HH.II
0 3 0  BBDD.MCC.L.MAAKL..J.K.EEJGG....HH.II
0 3 0  BBDD.MCCK..MAAK...J..LEEJGGL...HH.II
0 4 0  BBDD.MCCK..MAAK...J...EEJ..LGG.HHLII
0 4 0  BBDD.MCC...MAA....J.KEE.J.KLGG.HHLII
0 4 0  BBDD.MCC...M....AAJ.KLEEJ.KLGG.HH.II
