0 0 0  BB...HE..G.HEAAG.IDD...I...CCI..FF..
0 1 0  BB.G.HE..G.HEAA..IDD...I...CCI..FF..
0 1 0  BB...HE..G.HEAAG.IDD...I...CCI.FF...
0 1 0  BB...HE..G.HEAAG..DD...I...CCI..FF.I
0 1 0  BB...HE....HEAAG.IDD.G.I...CCI..FF..
0 1 0  BB...HE..G.HEAAG.IDD...I...CCI...FF.
0 2 0  BB.G.HE..G.HEAA..IDD...I...CCI.FF...
0 2 0  BB.G.HE..G.HEAA...DD...I...CCI..FF.I
0 2 0  BB...HE....HEAAG.IDD.G.I...CCI.FF...
0 2 0  BB...HE....HEAAG..DD.G.I...CCI..FF.I
0 2 0  BB...HE..G.HEAAG..DD...I...CCI...FFI
0 2 0  BB...HE..G.HEAAG..DD...I...CCI.FF..I
0 2 0  BB.G.HE..G.HE..AAIDD...I...CCI..FF..
0 2 0  BB...HE....HEAAG..DD.G.I...CCI..FF.I
0 2 0  BB....E..G.HEAAG.HDD...I...CCI..FF.I
0 2 0  BB.G.HE..G.HE.AA.IDD...I...CCI..FF..
0 2 0  BB.G.HE..G.HEAA...DD...I...CCI..FF.I
0 2 0  BB...HE..G.HEAAG..DD...I...CCI...FFI
0 2 0  BB...HE....HEAAG.IDD.G.I...CCI.FF...
0 2 0  BB.G.HE..G.HEAA..IDD...I...CCI.FF...
0 2 0  BB...HE..G.HEAAG..DD...I...CCI.FF..I
0 2 0  BB...HE....HEAAG.IDD.G.I...CCI...FF.
0 2 0  BB.G.HE..G.HEAA..IDD...I...CCI...FF.
0 2 0  BB.G.HE..G.HEAA..IDD...I...CCI...FF.
0 2 0  BB...HE....HEAAG.IDD.G.I...CCI...FF.
0 3 0  BB.G.HE..G.HEAA...DD...I...CCI.FF..I
0 3 0  BB...HE....HEAAG..DD.G.I...CCI.FF..I
0 3 0  BB....E..G.HEAAG.HDD...I...CCI.FF..I
0 3 0  BB.G.HE..G.HE..AA.DD...I...CCI..FF.I
0 3 0  BB.G.HE..G.HEAA...DD...I...CCI...FFI
0 3 0  BB...HE....HEAAG..DD.G.I...CCI...FFI
0 3 0  BB.G.HE..G.HEAA...DD...I...CCI.FF..I
0 3 0  BB.G.HE..G.HEAA...DD...I...CCI...FFI
0 3 0  BB....E..G.HEAAG.HDD...I...CCI...FFI
0 3 0  BB.G.HE..G.HEAA...DD...I...CCI...FFI
0 3 0  BB.G.HE..G.HE..AAIDD...I...CCI...FF.
0 3 0  BB...HE....HEAAG..DD.G.I...CCI.FF..I
0 3 0  BB...HE....HEAAG..DD.G.I...CCI...FFI
0 3 0  BB...HE....HEAAG..DD.G.I...CCI.FF..I
0 3 0  BB.G.HE..G.HE.AA.IDD...I...CCI...FF.
0 3 0  BB.G.HE..G.HE..AAIDD...I...CCI...FF.
0 3 0  BB....E....HEAAG.HDD.G.I...CCI..FF.I
0 3 0  BB.G.HE..G.HE.AA.IDD...I...CCI...FF.
0 3 0  BB....E..G.HEAAG.HDD...I...CCI.FF..I
0 3 0  BB.G.HE..G.HEAA...DD...I...CCI.FF..I
0 3 0  BB...HE....HEAAG..DD.G.I...CCI...FFI
0 3 0  BB.G.HE..G.HEAA...DD...I...CCI.FF..I
0 3 0  BB.G.HE..G.HE..AAIDD...I...CCI.FF...
0 3 0  BB.G.HE..G.HE...AADD...I...CCI..FF.I
