0 0 0  ..I.K.BBI.K.GHAAKLGHDDKLG..JEEFF.J..
0 1 0  ..I.KLBBI.KLGHAAK.GHDDK.G..JEEFF.J..
0 1 0  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEEFF.J..
0 1 0  ..I.K.BBI.K.GHAAKLGHDDKLG..JEE.FFJ..
0 1 0  ..I.K.BBI.KLGHAAKLGHDDK.G..JEEFF.J..
0 2 0  ..I.KLBBI.KLGHAAK.GHDDK.G..JEE.FFJ..
0 2 0  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEEFF.J..
0 2 0  ..I.K.BBI.K..HAAKLGHDDKLG..JEEGFFJ..
0 2 0  ..I.K.BBI.KLGHAAKLGHDDK.G..JEE.FFJ..
0 2 0  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEEFF.J..
0 2 0  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEEFF.J..
0 2 0  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEEFF.J..
0 2 0  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEE.FFJ..
0 2 0  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEE.FFJ..
0 2 0  ..I.K.BBI.KLGHAAKLGHDDK.G..JEE.FFJ..
0 2 0  ..I.K.BBI.KLGHAAKLGHDDK.G..JEEFF.J..
0 2 0  ..I.KLBBI.KLGHAAK.GHDDK.G..JEE.FFJ..
0 2 0  ..I.K.BBI.K.GAA.KLGHDDKLGH.JEEFF.J..
0 3 0  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
0 3 0  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEEFF.J..
0 3 0  ..I.K.BBI.KL.HAAKLGHDDK.G..JEEGFFJ..
0 3 0  ..I.KLBBI.KL.HAAK.GHDDK.G..JEEGFFJ..
0 3 0  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEEFF.J..
0 3 0  ..I.K.BBI.K.GAA.KLGHDDKLGH.JEE.FFJ..
0 3 0  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEEFF.J..
0 3 0  ..I.KLBBI.KL.HAAK.GHDDK.G..JEEGFFJ..
0 3 0  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
0 3 0  ..I.K.BBI.K.GAA.KLGHDDKLGH.JEE.FFJ..
0 3 0  ..I.K.BBI.KLGHAAKLGHDDK.G..JEE.FFJ..
0 3 0  ..I.K.BBI.K...AAKLGHDDKLGH.JEEGFFJ..
0 3 0  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEE.FFJ..
0 3 0  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
0 3 0  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEE.FFJ..
