0 0 0  .BBCCCJDD..MJAALLMFFK..N..KGGN...HHH
0 1 0  JBBCCCJDD..M.AALLMFFK..N..KGGN...HHH
0 1 0  .BBCCCJ.DD.MJAALLMFFK..N..KGGN...HHH
0 1 0  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 1 0  BB.CCCJDD..MJAALLMFFK..N..KGGN...HHH
0 2 0  JBBCCCJDD..MAA.LLMFFK..N..KGGN...HHH
0 2 0  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
0 2 0  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 2 0  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 2 0  JBBCCCJ.DD.M.AALLMFFK..N..KGGN...HHH
0 2 0  JBBCCCJ..DDM.AALLMFFK..N..KGGN...HHH
0 2 0  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 2 0  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
0 2 0  JBBCCCJ.DD.M.AALLMFFK..N..KGGN...HHH
0 2 0  BBCCC.JDD..MJAALLMFFK..N..KGGN...HHH
0 2 0  JBBCCCJ..DDM.AALLMFFK..N..KGGN...HHH
0 3 0  JBBCCCJDD..MAALL.MFFK..N..KGGN...HHH
0 3 0  BBCCC.J..DDMJAALLMFFK..N..KGGN...HHH
0 3 0  BBCCC.J.DD.MJAALLMFFK..N..KGGN...HHH
0 3 0  BBCCC.J..DDMJAALLMFFK..N..KGGN...HHH
0 3 0  JBBCCCJ..DDMAA.LLMFFK..N..KGGN...HHH
0 3 0  BBCCCMJDD..MJAALL.FFK..N..KGGN...HHH
0 3 0  BBCCC.J.DD.MJAALLMFFK..N..KGGN...HHH
0 3 0  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 3 0  JBBCCCJ..DDMAA.LLMFFK..N..KGGN...HHH
0 3 0  JBBCCCJ.DD.MAA.LLMFFK..N..KGGN...HHH
0 3 0  JBBCCCJ.DD.MAA.LLMFFK..N..KGGN...HHH
0 3 0  JBBCCCJ.DD.MAA.LLMFFK..N..KGGN...HHH
0 3 0  BBCCC.J..DDMJAALLMFFK..N..KGGN...HHH
0 3 0  JBBCCCJ..DDMAA.LLMFFK..N..KGGN...HHH
0 3 0  BBCCC.J.DD.MJAALLMFFK..N..KGGN...HHH
0 3 0  JBBCCCJ..DDM.AALLMFFK..N..KGGN...HHH
0 4 0  JBBCCCJ..DDMAALL.MFFK..N..KGGN...HHH
0 4 0  BBCCCMJ.DD.MJAALL.FFK..N..KGGN...HHH
0 4 0  BBCCCMJ.DD.MJAALL.FFK..N..KGGN...HHH
0 4 0  BBCCCMJ.DD.MJAALL.FFK..N..KGGN...HHH
0 4 0  JBBCCCJ..DDMAALL.MFFK..N..KGGN...HHH
0 4 0  BBCCC.J.DD.MJAALLMFFK..N..KGGN...HHH
0 4 0  BBCCCMJ..DDMJAALL.FFK..N..KGGN...HHH
0 4 0  BBCCCMJDD..MJAA...FFK..N..KGGN...HHH
0 4 0  JBBCCCJ..DDMAALL.MFFK..N..KGGN...HHH
0 4 0  BBCCCMJDD..MJAALLNFFK..N..KGG....HHH
0 4 0  JBBCCCJ.DD.MAALL.MFFK..N..KGGN...HHH
0 4 0  JBBCCCJ..DDMAALL.MFFK..N..KGGN...HHH
0 4 0  JBBCCCJ.DD.MAA.LLMFFK..N..KGGN...HHH
0 4 0  BBCCCMJ..DDMJAALL.FFK..N..KGGN...HHH
0 4 0  BBCCCMJ.DD.MJAALL.FFK..N..KGGN...HHH
0 4 0  JBBCCCJ.DD.MAALL.MFFK..N..KGGN...HHH
0 4 0  BBCCCMJ..DDMJAALL.FFK..N..KGGN...HHH
0 4 0  JBBCCCJ.DD.MAA.LLMFFK..N..KGGN...HHH
0 4 0  BBCCCMJ..DDMJAALL.FFK..N..KGGN...HHH
0 4 0  JBBCCCJ.DD.MAALL.MFFK..N..KGGN...HHH
0 4 0  JBBCCCJ.DD.MAALL.MFFK..N..KGGN...HHH
0 5 0  JBBCCCJ.DD.MAALL.MFFK..N..KGGN...HHH
0 5 0  BBCCCMJ.DD.MJAA...FFK..N..KGGN...HHH
0 5 0  BBCCCMJ..DDMJAA...FFK..N..KGGN...HHH
0 5 0  BBCCC.JDD..MJAA..MFFK..N..KGGN...HHH
0 5 0  BBCCCMJ..DDMJAALLNFFK..N..KGG....HHH
0 5 0  BBCCCMJDD..MJ..AA.FFK..N..KGGN...HHH
0 5 0  BBCCCMJ.DD.MJAALLNFFK..N..KGG....HHH
0 5 0  BBCCCMJ.DD.MJAA...FFK..N..KGGN...HHH
0 5 0  BBCCCMJDD..MJ.AA..FFK..N..KGGN...HHH
0 5 0  BBCCCMJ..DDMJAA...FFK..N..KGGN...HHH
0 5 0  BBCCCMJ.DD.MJAALLNFFK..N..KGG....HHH
0 5 0  BBCCCMJ.DD.MJAA...FFK..N..KGGN...HHH
0 5 0  BBCCCMJ.DD.MJAA...FFK..N..KGGN...HHH
0 5 0  BBCCCMJ..DDMJAALLNFFK..N..KGG....HHH
0 5 0  BBCCCMJ..DDMJAALL.FFK..N..KGGN...HHH
0 5 0  JBBCCCJ.DD.MAALL.MFFK..N..KGGN...HHH
0 5 0  BBCCCMJ.DD.MJAALLNFFK..N..KGG....HHH
0 5 0  BBCCCMJ..DDMJAALL.FFK..N..KGGN...HHH
0 5 0  BBCCCMJDD..MJ...AAFFK..N..KGGN...HHH
