0 0 0  BBBD..CC.D.MJAAL.MJ..LEEJ.GG..JHHHII
0 1 0  BBBD.MCC.D.MJAAL..J..LEEJ.GG..JHHHII
0 1 0  BBBD..CC.D.MJAAL.MJ..LEEJ..GG.JHHHII
0 1 0  BBBD..CC.D.MJAAL.MJ..LEEJ...GGJHHHII
0 1 0  BBBD..CC.D.MJAAL.MJ..LEEJGG...JHHHII
0 2 0  BBBD.MCC.D.MJAAL..J..LEEJ...GGJHHHII
0 2 0  BBBD..CC.D.MJAAL.MJ..LEEJGG...JHHHII
0 2 0  BBBD..CC.D.MJAA..MJ..LEEJ..LGGJHHHII
0 2 0  BBBD..CC.D.MJAA..MJ..LEEJGGL..JHHHII
0 2 0  BBBD.MCC.D.MJAAL..J..LEEJ..GG.JHHHII
0 2 0  BBBD.MCC.D.MJAAL..J..LEEJ..GG.JHHHII
0 2 0  BBBD..CC.D.MJAAL.MJ..LEEJ...GGJHHHII
0 2 0  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
0 2 0  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
0 2 0  BBBD..CC.D.MJAAL.MJ..LEEJGG...JHHHII
0 2 0  BBBD.MCC.D.MJAAL..J..LEEJ...GGJHHHII
0 3 0  BBBD.MCC.D.MJAAL..J..LEEJ..GG.JHHHII
0 3 0  BBB...CC.D.MJAAD.MJ..LEEJ..LGGJHHHII
0 3 0  BBBD..CC.D.MJ..AAMJ..LEEJ..LGGJHHHII
0 3 0  BBBD.MCC.D.MJAA...J..LEEJGGL..JHHHII
0 3 0  BBBD.MCC.D.MJAA...J..LEEJ..LGGJHHHII
0 3 0  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
0 3 0  BBBD.MCC.D.MJAA...J..LEEJ..LGGJHHHII
0 3 0  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
0 3 0  BBBD..CC.D.MJAA..MJ..LEEJGGL..JHHHII
0 3 0  BBBD.MCC.D.MJAA...J..LEEJ..LGGJHHHII
0 3 0  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
0 3 0  BBBD.MCC.D.MJAAL..J..LEEJGG...JHHHII
0 3 0  BBBD.MCC.D.MJAA...J..LEEJGGL..JHHHII
0 3 0  BBBD..CC.D.MJ..AAMJ..LEEJGGL..JHHHII
0 3 0  BBBD..CC.D.MJ.AA.MJ..LEEJGGL..JHHHII
0 3 0  BBB...CC.D.MJAAD.MJ..LEEJGGL..JHHHII
0 3 0  BBBD.MCC.D.MJAA...J..LEEJGGL..JHHHII
0 3 0  BBBD..CC.D.MJ.AA.MJ..LEEJ..LGGJHHHII
0 4 0  ...BBBCC.D.MJAAD.MJ..LEEJ..LGGJHHHII
0 4 0  BBBD.MCC.D.MJ...AAJ..LEEJGGL..JHHHII
