0 0 0  I...CCIJDD.FIJAALFEEK.LH..K..H.GGGBB
0 1 0  IJ..CCIJDD.FI.AALFEEK.LH..K..H.GGGBB
0 1 0  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 1 0  I...CCIJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 1 0  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 1 0  I...CCIJDDLFIJAALFEEK..H..K..H.GGGBB
0 1 0  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 2 0  IJ.CC.IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 2 0  IJ..CCIJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 2 0  IJ..CCIJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 2 0  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 2 0  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 2 0  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 2 0  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 2 0  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 2 0  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 2 0  IJ.CC.IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 2 0  I.CCL.IJDDLFIJAA.FEEK..H..K..H.GGGBB
0 2 0  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 2 0  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 2 0  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 2 0  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 2 0  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 2 0  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
0 2 0  ICC...IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 2 0  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 2 0  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 2 0  ICC.L.IJDDLFIJAA.FEEK..H..K..H.GGGBB
0 2 0  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 2 0  I...CCIJDDLFIJAALFEEK..H..K..H.GGGBB
0 2 0  I...CCIJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 2 0  I..CC.IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 2 0  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
0 2 0  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 2 0  ICC...IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 3 0  IJ.CC.IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 3 0  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  IJ..CCIJDD.FI..AAFEEK.LH..K.LH.GGGBB
0 3 0  I.CC..IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 3 0  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 0  I.CC..IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 3 0  ICC...IJDD.FIJ.AAFEEK.LH..K.LH.GGGBB
0 3 0  ICC.L.IJDDLFIJAA.FEEK..H..K..H.GGGBB
0 3 0  IJ.CC.IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
0 3 0  ICC...IJDD.FIJAA.FEEK.LH..K.LH.GGGBB
0 3 0  IJCC..IJDD.FI.AA.FEEK.LH..K.LH.GGGBB
