0 0 0  BB.G.HE..G.HEAAG.ICCF..IDDF..I..F...
0 1 0  BB...HE..G.HEAAG.ICCFG.IDDF..I..F...
0 1 0  BB...HE....HEAA..ICCFG.IDDFG.I..FG..
0 1 0  BB.G.HE..G.HEAAG..CCF..IDDF..I..F..I
0 1 0  BB...HE....HEAAG.ICCFG.IDDFG.I..F...
0 2 0  BB...HE..G.HEAAG..CCFG.IDDF..I..F..I
0 2 0  BB...HE....HE.AA.ICCFG.IDDFG.I..FG..
0 2 0  BB...HE....HEAA...CCFG.IDDFG.I..FG.I
0 2 0  BB...HE....HEAAG..CCFG.IDDFG.I..F..I
0 2 0  BB...HE....HEAAG.ICCFG.IDDFG.I..F...
0 2 0  BB...HE....HEAA..ICCFG.IDDFG.I..FG..
0 2 0  BB...HE....HEAA...CCFG.IDDFG.I..FG.I
0 2 0  BB...HE....HEAAG..CCFG.IDDFG.I..F..I
0 2 0  BB...HE....HEAAG.ICCFG.IDDFG.I..F...
0 2 0  BB...HE..G.HEAAG..CCFG.IDDF..I..F..I
0 2 0  BB...HE....HE..AAICCFG.IDDFG.I..FG..
0 3 0  BB...HE....HEAA...CCFG.IDDFG.I..FG.I
0 3 0  BB...HE....HE..AA.CCFG.IDDFG.I..FG.I
0 3 0  BB...HE....HEAAG..CCFG.IDDFG.I..F..I
0 3 0  BB...HE....HE..AA.CCFG.IDDFG.I..FG.I
0 3 0  BB...HE....HE..AAICCFG.IDDFG.I..FG..
0 3 0  BB...HE....HE.AA..CCFG.IDDFG.I..FG.I
0 3 0  BB...HE....HEAAG..CCFG.IDDFG.I..F..I
0 3 0  BB...HE....HE.AA..CCFG.IDDFG.I..FG.I
0 3 0  BB...HE....HE.AA..CCFG.IDDFG.I..FG.I
0 3 0  BB...HE....HE...AACCFG.IDDFG.I..FG.I
