0 0 0  .H.III.HFF.LGHAAKLG...KLG...EE..JJ..
0 1 0  .H.III.HFFKLGHAAKLG....LG...EE..JJ..
0 1 0  .H.III.HFF.LGHAAKLG...KLGEE.....JJ..
0 1 0  .H.III.HFF.LGHAAKLG...KLG..EE...JJ..
0 1 0  .H.III.H.FFLGHAAKLG...KLG...EE..JJ..
0 1 0  .H.III.HFF.LGHAAKLG...KLG.EE....JJ..
0 2 0  .H.III.HFFKLGHAAKLG....LG.EE....JJ..
0 2 0  .H.III.HFFKLGHAAKLG....LGEE.....JJ..
0 2 0  .H.III.H.FFLGHAAKLG...KLG..EE...JJ..
0 2 0  .H.III.H.FFLGHAAKLG...KLG..EE...JJ..
0 2 0  .H.III.HFF..GHAAK.G...KLG.EE.L..JJ.L
0 2 0  .H.III.HFFKLGHAAKLG....LG..EE...JJ..
0 2 0  .H.III.HFFKLGHAAKLG....LG..EE...JJ..
0 2 0  .H.III.HFF.LGHAA.LG....LGEE.K...JJK.
0 2 0  .H.III.HFF..GHAAKLG...KLGEE..L..JJ..
0 2 0  .H.III.HFF.LGHAA.LG....LG.EEK...JJK.
0 2 0  .H.III.HFFKLGHAAKLG....LGEE.....JJ..
0 2 0  .H.III.HFF.LGHAAKLG...KLG..EE...JJ..
0 2 0  .H.III.HFF..GHAAK.G...KLG..EEL..JJ.L
0 2 0  .H.III.HFF..GHAAKLG...KLG.EE.L..JJ..
0 2 0  .H.III.HFF.LGHAA.LG...KLG.EEK...JJ..
0 2 0  .H.III.HFF.LGHAA.LG...KLGEE.K...JJ..
0 2 0  .H.III.H.FFLGHAAKLG...KLG.EE....JJ..
0 2 0  .H.III.HFFKLGHAAKLG....LG.EE....JJ..
0 2 0  .H.III.HFF.LGHAAKLG...KLG.EE....JJ..
0 2 0  .H.III.HFF..GHAAK.G...KLGEE..L..JJ.L
0 2 0  .H.III.H.FFLGHAAKLG...KLG.EE....JJ..
0 2 0  .H.III.H.FFLGHAAKLG...KLGEE.....JJ..
0 2 0  .H.III.H.FFLGHAAKLG...KLGEE.....JJ..
0 2 0  .H.III.HFF..GHAAKLG...KLG..EEL..JJ..
0 2 0  .H.III.HFF.LGHAAKLG...KLG.EE....JJ..
0 3 0  .H.III.HFFK.GHAAK.G....LG.EE.L..JJ.L
0 3 0  .H.III.HFFKLGHAAKLG....LG..EE...JJ..
0 3 0  .H.III.H.FF.GHAAK.G...KLG..EEL..JJ.L
0 3 0  .H.III.HFF..GHAA..G....LGEE.KL..JJKL
0 3 0  .H.III.HFF.LGHAA.LG...KLG.EEK...JJ..
0 3 0  .H.III.H..FFGHAAKLG...KLG..EEL..JJ..
0 3 0  .H.III.H.FF.GHAAKLG...KLG..EEL..JJ..
0 3 0  .H.III.HFF.LGH.AALG....LG.EEK...JJK.
0 3 0  .H.III.HFF.LGHAA.LG...KLGEE.K...JJ..
0 3 0  .H.III.H.FFLGHAA.LG....LG.EEK...JJK.
0 3 0  .H.III.HFF..GHAA.LG....LGEE.KL..JJK.
0 3 0  .H.III.HFF.LGHAA.LG....LG.EEK...JJK.
0 3 0  .H.III.HFFK.GHAAK.G....LGEE..L..JJ.L
0 3 0  .H.III.HFF..GHAAKLG...KLG..EEL..JJ..
0 3 0  .H.III.HFF..GHAA.LG...KLGEE.KL..JJ..
0 3 0  .H.III.HFFK.GHAAKLG....LG.EE.L..JJ..
0 3 0  .H.III.HFF..GHAAKLG...KLG.EE.L..JJ..
0 3 0  .H.III.H..FFGHAAKLG...KLGEE..L..JJ..
0 3 0  .H.III.HFFKLGHAAKLG....LG..EE...JJ..
0 3 0  .H.III.H.FF.GHAAK.G...KLG..EEL..JJ.L
0 3 0  .H.III.HFFK.GHAAK.G....LG..EEL..JJ.L
0 3 0  .H.III.H.FF.GHAAKLG...KLGEE..L..JJ..
0 3 0  .H.III.HFFK.GHAAKLG....LGEE..L..JJ..
0 3 0  .H.III.HFF.LGHAA.LG...KLG.EEK...JJ..
0 3 0  .H.III.HFF..GHAA.LG....LGEE.KL..JJK.
0 3 0  .H.III.HFF.LGHAA.LG....LG.EEK...JJK.
0 3 0  .H.III.HFFKLGHAAKLG....LGEE.....JJ..
0 3 0  .H.III.HFFK.GHAAK.G....LG..EEL..JJ.L
0 3 0  .H.III.HFF.LGHAA.LG...KLGEE.K...JJ..
0 3 0  .H.III.HFFK.GHAAKLG....LG..EEL..JJ..
0 3 0  .H.III.HFF.LGH.AALG....LGEE.K...JJK.
0 3 0  .H.III.H.FFLGHAA.LG....LGEE.K...JJK.
0 3 0  .H.III.H.FF.GHAAKLG...KLGEE..L..JJ..
0 3 0  .H.III.HFF..GHAA..G....LG.EEKL..JJKL
0 3 0  .H.III.H.FFLGHAA.LG....LGEE.K...JJK.
0 3 0  .H.III.H.FFLGHAA.LG...KLGEE.K...JJ..
0 3 0  .H.III.H.FFLGHAA.LG....LGEE.K...JJK.
0 3 0  .H.III.HFFK.GHAAKLG....LG..EEL..JJ..
0 3 0  .H.III.H.FF.GHAAKLG...KLGEE..L..JJ..
0 3 0  .H.III.H.FFLGHAA.LG...KLGEE.K...JJ..
0 3 0  .H.III.HFFK.GHAAKLG....LG..EEL..JJ..
0 3 0  .H.III.HFF..GHAAK.G...KLGEE..L..JJ.L
0 3 0  .H.III.HFFK.GHAAK.G....LGEE..L..JJ.L
