0 0 0  J..CCCJDD..MJAAL.MFF.L.NBB.GGN.HH...
0 1 0  JCCC..JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 1 0  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 1 0  J..CCCJDD..MJAAL.MFF.L..BB.GGN.HH..N
0 1 0  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 1 0  J..CCCJ..DDMJAAL.MFF.L.NBB.GGN.HH...
0 1 0  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 2 0  JCCC.MJDD..MJAAL..FF.L.NBB.GGN.HH...
0 2 0  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 2 0  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 2 0  J..CCCJ..DDMJAAL.MFF.L..BB.GGN.HH..N
0 2 0  J..CCCJ.DD.MJAAL.MFF.L..BB.GGN.HH..N
0 2 0  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 2 0  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 2 0  JCCC..JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 2 0  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 2 0  J.CCC.JDDL.MJAAL.MFF...NBB.GGN.HH...
0 2 0  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 2 0  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 2 0  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 2 0  J..CCCJDDL.MJAAL.MFF....BB.GGN.HH..N
0 2 0  J.CCC.JDD..MJAAL.MFF.L..BB.GGN.HH..N
0 2 0  J.CCC.J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 2 0  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 2 0  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
