0 0 0  .LL...NDD..MNAAC.MFF.C..BB.GG..HH.JJ
0 1 0  NLL...NDD..M.AAC.MFF.C..BB.GG..HH.JJ
0 1 0  .LL..MNDD..MNAAC..FF.C..BB.GG..HH.JJ
0 1 0  .LL...NDD...NAAC.MFF.C.MBB.GG..HH.JJ
0 1 0  .LL...NDD..MNAAC.MFF.C..BB.GG..HHJJ.
0 1 0  .LL...N..DDMNAAC.MFF.C..BB.GG..HH.JJ
0 1 0  .LLC..NDDC.MNAA..MFF....BB.GG..HH.JJ
0 1 0  .LL...N.DD.MNAAC.MFF.C..BB.GG..HH.JJ
0 1 0  .LL...NDDC.MNAAC.MFF....BB.GG..HH.JJ
0 1 0  .LL...NDD...NAAC..FF.C.MBB.GGM.HH.JJ
0 2 0  NLL...NDD....AAC.MFF.C.MBB.GG..HH.JJ
0 2 0  NLL...NDD..M.AAC.MFF.C..BB.GG..HHJJ.
0 2 0  .LL...NDD...NAAC..FF.C.MBB.GGM.HH.JJ
0 2 0  NLL...NDD..M.AAC.MFF.C..BB.GG..HHJJ.
0 2 0  .LL...NDDC.MNAAC.MFF....BB.GG..HHJJ.
0 2 0  .LL...N..DD.NAAC..FF.C.MBB.GGM.HH.JJ
0 2 0  .LL...NDD...NAAC..FF.C.MBB.GGM.HHJJ.
0 2 0  .LL...N.DD..NAAC..FF.C.MBB.GGM.HH.JJ
0 2 0  .LL...NDD...NAAC.MFF.C.MBB.GG..HHJJ.
0 2 0  .LL...NDDC..NAAC..FF...MBB.GGM.HH.JJ
0 2 0  .LLC..NDDC..NAA...FF...MBB.GGM.HH.JJ
0 2 0  NLL...NDD..MAA.C.MFF.C..BB.GG..HH.JJ
0 2 0  .LL...N...DDNAAC.MFF.C.MBB.GG..HH.JJ
0 2 0  NLL...NDD....AAC..FF.C.MBB.GGM.HH.JJ
0 2 0  .LL...NDDC..NAAC..FF...MBB.GGM.HH.JJ
0 2 0  .LL...N..DD.NAAC.MFF.C.MBB.GG..HH.JJ
0 2 0  .LL...NDDC..NAAC.MFF...MBB.GG..HH.JJ
0 2 0  .LL..MNDDC.MNAAC..FF....BB.GG..HH.JJ
0 2 0  NLL...N..DDM.AAC.MFF.C..BB.GG..HH.JJ
0 2 0  .LL..MNDD..MNAAC..FF.C..BB.GG..HHJJ.
0 2 0  .LL...N.DD..NAAC.MFF.C.MBB.GG..HH.JJ
0 2 0  NLL...NDDC.M.AAC.MFF....BB.GG..HH.JJ
0 2 0  .LL...N.DD..NAAC..FF.C.MBB.GGM.HH.JJ
0 2 0  .LL...NDDC..NAAC.MFF...MBB.GG..HH.JJ
0 2 0  .LL...N.DD..NAAC.MFF.C.MBB.GG..HH.JJ
0 2 0  .LL..MN.DD.MNAAC..FF.C..BB.GG..HH.JJ
0 2 0  NLL...N.DD.M.AAC.MFF.C..BB.GG..HH.JJ
0 2 0  .LLC..NDDC..NAA..MFF...MBB.GG..HH.JJ
0 2 0  NLL...N.DD.M.AAC.MFF.C..BB.GG..HH.JJ
0 2 0  .LLC..NDDC..NAA...FF...MBB.GGM.HH.JJ
0 2 0  NLL...NDD....AAC.MFF.C.MBB.GG..HH.JJ
0 2 0  .LLC..NDDC..NAA..MFF...MBB.GG..HH.JJ
0 2 0  .LLC..NDDC.MN..AAMFF....BB.GG..HH.JJ
0 2 0  NLL...NDDC.M.AAC.MFF....BB.GG..HH.JJ
0 2 0  .LL...NDD...NAAC..FF.C.MBB.GGM.HH.JJ
0 2 0  .LL...NDD...NAAC..FF.C..BB.GGM.HHJJM
0 2 0  .LLC..NDDC.MN.AA.MFF....BB.GG..HH.JJ
0 2 0  .LL...N.DD.MNAAC.MFF.C..BB.GG..HHJJ.
0 2 0  .LL...NDDC.MNAAC.MFF....BB.GG..HH.JJ
0 2 0  .LL...NDD...NAAC.MFF.C.MBB.GG..HH.JJ
0 2 0  .LLC.MNDDC.MNAA...FF....BB.GG..HH.JJ
0 2 0  NLLC..NDDC.M.AA..MFF....BB.GG..HH.JJ
0 2 0  NLL..MNDD..M.AAC..FF.C..BB.GG..HH.JJ
0 2 0  .LL..MN..DDMNAAC..FF.C..BB.GG..HH.JJ
0 2 0  .LL...N..DD.NAAC..FF.C.MBB.GGM.HH.JJ
0 2 0  .LL...N..DD.NAAC.MFF.C.MBB.GG..HH.JJ
0 2 0  .LL..MN.DD.MNAAC..FF.C..BB.GG..HH.JJ
0 2 0  .LL...N.DD.MNAAC.MFF.C..BB.GG..HH.JJ
0 2 0  .LL..MN..DDMNAAC..FF.C..BB.GG..HH.JJ
0 2 0  NLLC..NDDC.M.AA..MFF....BB.GG..HH.JJ
0 2 0  .LL..MNDDC.MNAAC..FF....BB.GG..HH.JJ
0 2 0  NLL...N..DDM.AAC.MFF.C..BB.GG..HH.JJ
0 2 0  .LLC..NDDC.MNAA..MFF....BB.GG..HHJJ.
0 2 0  .LL...NDD...NAAC..FF.C.MBB.GGM.HHJJ.
0 2 0  .LLC.MNDDC.MNAA...FF....BB.GG..HH.JJ
0 2 0  .LL...NDD...NAAC.MFF.C.MBB.GG..HHJJ.
0 2 0  .LL...N..DDMNAAC.MFF.C..BB.GG..HHJJ.
0 2 0  NLL..MNDD..M.AAC..FF.C..BB.GG..HH.JJ
0 2 0  .LL...N.DD.MNAAC.MFF.C..BB.GG..HHJJ.
0 2 0  .LL...N..DDMNAAC.MFF.C..BB.GG..HHJJ.
0 2 0  .LL...NDDC.MNAAC.MFF....BB.GG..HHJJ.
0 2 0  NLL...NDD....AAC..FF.C.MBB.GGM.HH.JJ
0 2 0  .LL..MNDD..MNAAC..FF.C..BB.GG..HHJJ.
0 2 0  .LLC..NDDC.MNAA..MFF....BB.GG..HHJJ.
0 2 0  .LL...N...DDNAAC..FF.C.MBB.GGM.HH.JJ
0 3 0  NLL...NDD....AAC.MFF.C.MBB.GG..HHJJ.
0 3 0  .LL...NDD...NAAC..FF.C.MBB.GGM.HHJJ.
0 3 0  .LL...NDD...NAAC..FF.C..BB.GGM.HHJJM
0 3 0  .LL...NDDC..NAAC.MFF...MBB.GG..HH.JJ
0 3 0  .LL...NDDC..NAAC..FF...MBB.GGM.HHJJ.
