0 0 0  ..BB.HE..G.HEAAG.IF..CCIF....I...DD.
0 1 0  .BB..HE..G.HEAAG.IF..CCIF....I...DD.
0 1 0  ..BB.HE..G.HEAAG.IFCC..IF....I...DD.
0 1 0  ..BB.HE..G.HEAAG..F..CCIF....I...DDI
0 1 0  ...BBHE..G.HEAAG.IF..CCIF....I...DD.
0 1 0  ..BB.HE..G.HEAAG.IF.CC.IF....I...DD.
0 2 0  .BB..HE..G.HEAAG.IF.CC.IF....I...DD.
0 2 0  .BB..HE..G.HEAAG..F..CCIF....I...DDI
0 2 0  ..BB.HE..G.HEAAG..FCC..IF....I...DDI
0 2 0  ...BBHE..G.HEAAG..F..CCIF....I...DDI
0 2 0  ..BB.HE..G.HEAAG..F.CC.IF....I...DDI
0 2 0  ...BBHE..G.HEAAG..F..CCIF....I...DDI
0 2 0  .BB..HE..G.HEAAG.IFCC..IF....I...DD.
0 2 0  .BB..HE..G.HEAAG..F..CCIF....I...DDI
0 2 0  ..BB.HE....HEAA..IFCCG.IF..G.I...DD.
0 2 0  .BBG.HE..G.HEAA..IF..CCIF....I...DD.
0 2 0  ..BB.HE..G.HEAAG.IF.CC.IF....I...DD.
0 2 0  ..BB.HE..G.HEAAG..F.CC.IF....I...DDI
0 2 0  ..BB.HE....HEAAG.IFCCG.IF....I...DD.
0 2 0  ...BBHE..G.HEAAG.IFCC..IF....I...DD.
0 2 0  ..BB.HE..G.HEAAG..FCC..IF....I...DDI
0 2 0  ...BBHE..G.HEAAG.IF.CC.IF....I...DD.
0 2 0  .BB..HE..G.HEAAG.IF.CC.IF....I...DD.
0 2 0  .BB..HE..G.HEAAG.IFCC..IF....I...DD.
0 2 0  ...BBHE..G.HEAAG.IF.CC.IF....I...DD.
0 2 0  ...BBHE..G.HEAAG.IFCC..IF....I...DD.
0 3 0  .BB..HE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  ..BB.HE....HEAA...FCCG.IF..G.I...DDI
0 3 0  .BBG.HE..G.HEAA..IFCC..IF....I...DD.
0 3 0  .BB..HE..G.HEAAG..FCC..IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..FCC..IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..FCC..IF....I...DDI
0 3 0  .BB..HE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  .BB..HE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  ...BBHE....HEAA..IFCCG.IF..G.I...DD.
0 3 0  ...BBHE....HEAAG.IFCCG.IF....I...DD.
0 3 0  ...BBHE..G.HEAAG..FCC..IF....I...DDI
0 3 0  .BB..HE....HEAA..IFCCG.IF..G.I...DD.
0 3 0  .BB..HE....HEAAG.IFCCG.IF....I...DD.
0 3 0  ..BB.HE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  .BBG.HE..G.HEAA..IFCC..IF....I...DD.
0 3 0  .BBG.HE..G.HEAA..IF.CC.IF....I...DD.
0 3 0  ..BB.HE....HEAAG..FCCG.IF....I...DDI
0 3 0  ..BB.HE....HEAAG..FCCG.IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..FCC..IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..FCC..IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  .BB..HE..G.HEAAG..FCC..IF....I...DDI
0 3 0  ...BBHE....HEAA..IFCCG.IF..G.I...DD.
0 3 0  .BB..HE..G.HEAAG..FCC..IF....I...DDI
0 3 0  ...BBHE..G.HEAAG.IF.CC.IF....I...DD.
0 3 0  ...BBHE....HEAAG.IFCCG.IF....I...DD.
0 3 0  .BB..HE..G.HEAAG..FCC..IF....I...DDI
0 3 0  .BB..HE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  .BBG.HE..G.HEAA...F..CCIF....I...DDI
0 3 0  ...BBHE....HEAAG.IFCCG.IF....I...DD.
0 3 0  .BB..HE..G.HEAAG..FCC..IF....I...DDI
0 3 0  .BB..HE....HEAAG.IFCCG.IF....I...DD.
0 3 0  .BBG.HE..G.HEAA...F..CCIF....I...DDI
0 3 0  .BB..HE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  .BBG.HE..G.HEAA..IF.CC.IF....I...DD.
0 3 0  .BB..HE..G.HEAAG.IFCC..IF....I...DD.
0 3 0  ..BB.HE....HEAA...FCCG.IF..G.I...DDI
0 3 0  .BBG.HE..G.HEAA..IFCC..IF....I...DD.
0 3 0  .BBG.HE..G.HE..AAIF..CCIF....I...DD.
0 3 0  .BBG.HE..G.HEAA..IF.CC.IF....I...DD.
0 3 0  .BBG.HE..G.HE.AA.IF..CCIF....I...DD.
0 3 0  ..BB.HE....HE..AAIFCCG.IF..G.I...DD.
0 3 0  ..BB.HE....HE.AA.IFCCG.IF..G.I...DD.
0 3 0  ...BBHE..G.HEAAG.IF.CC.IF....I...DD.
0 3 0  ..BB.HE....HEAAG..FCCG.IF....I...DDI
0 3 0  .BB..HE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  ..BB.HE....HEAAG.IFCCG.IF....I...DD.
0 3 0  ...BBHE....HEAA..IFCCG.IF..G.I...DD.
0 3 0  ...BBHE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  .BB..HE....HEAA..IFCCG.IF..G.I...DD.
0 3 0  .BB..HE..G.HEAAG..FCC..IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..FCC..IF....I...DDI
0 3 0  ...BBHE..G.HEAAG..F.CC.IF....I...DDI
0 3 0  .BBG.HE..G.HEAA...F..CCIF....I...DDI
0 3 0  .BB..HE....HEAA..IFCCG.IF..G.I...DD.
0 3 0  ..BB.HE....HEAA...FCCG.IF..G.I...DDI
0 3 0  .BB..HE....HEAAG.IFCCG.IF....I...DD.
0 4 0  .BB..HE..G.HEAAG..FCC..IF....I...DDI
0 4 0  ..BB.HE....HEAAG..FCCG.IF....I...DDI
0 4 0  .BBG.HE..G.HEAA...FCC..IF....I...DDI
0 4 0  ...BBHE....HEAAG..FCCG.IF....I...DDI
0 4 0  .BB..HE....HEAA...FCCG.IF..G.I...DDI
0 4 0  .BBG.HE..G.HE.AA..F..CCIF....I...DDI
0 4 0  ..BB.HE....HE...AAFCCG.IF..G.I...DDI
