0 0 0  ..I...BBI.K.GHAAKLGH...LG..JEEFF.JDD
0 1 0  ..I.K.BBI.K.GHAA.LGH...LG..JEEFF.JDD
0 1 0  ..I...BBI.KLGHAAKLGH....G..JEEFF.JDD
0 1 0  ..I...BBI.K.G.AAKLGH...LGH.JEEFF.JDD
0 1 0  ..I..LBBI.KLGHAAK.GH....G..JEEFF.JDD
0 1 0  ..I...BBI...GHAAKLGH..KLG..JEEFF.JDD
0 2 0  ..I.K.BBI.K.GH.AALGH...LG..JEEFF.JDD
0 2 0  ..I.K.BBI.K.G.AA.LGH...LGH.JEEFF.JDD
0 2 0  ..I.KLBBI.KLGHAA..GH....G..JEEFF.JDD
0 2 0  ..I..LBBI.KLG.AAK.GH....GH.JEEFF.JDD
0 2 0  ..I...BBI...G.AAKLGH..KLGH.JEEFF.JDD
0 2 0  ..I...BBI.K.GAA.KLGH...LGH.JEEFF.JDD
0 2 0  ..I.K.BBI.KLGHAA.LGH....G..JEEFF.JDD
0 2 0  ..I...BBI.KLG.AAKLGH....GH.JEEFF.JDD
0 2 0  ..I..LBBI.KLG.AAK.GH....GH.JEEFF.JDD
0 2 0  ..I.KLBBI.KLGHAA..GH....G..JEEFF.JDD
0 2 0  ..I.K.BBI.K.G.AA.LGH...LGH.JEEFF.JDD
0 2 0  ..I...BBI...G.AAKLGH..KLGH.JEEFF.JDD
0 2 0  ..I...BBI..LGHAAKLGH..K.G..JEEFF.JDD
0 2 0  ..I..LBBI.KLGHAAK.GH....G..JEEFF.JDD
0 2 0  ..I...BBI.KLG.AAKLGH....GH.JEEFF.JDD
0 2 0  ..I...BBI..LGHAAKLGH..K.G..JEEFF.JDD
0 2 0  ..I.K.BBI.KLGHAA.LGH....G..JEEFF.JDD
0 2 0  ..I..LBBI..LGHAAK.GH..K.G..JEEFF.JDD
0 2 0  ..I..LBBI..LGHAAK.GH..K.G..JEEFF.JDD
0 3 0  ....K.BB..K.GH.AALGH...LG.IJEEFFIJDD
0 3 0  ..I.KLBBI.KLGH..AAGH....G..JEEFF.JDD
