0 0 0  JBBCCCJDD..MJAAL.M..KL.NFFK..N.HH.GG
0 1 0  JBBCCCJDDL.MJAAL.M..K..NFFK..N.HH.GG
0 1 0  JBBCCCJ..DDMJAAL.M..KL.NFFK..N.HH.GG
0 1 0  JBBCCCJDD..MJAA..M..KL.NFFKL.N.HH.GG
0 1 0  JBBCCCJ.DD.MJAAL.M..KL.NFFK..N.HH.GG
0 1 0  .BBCCCJDD..MJAAL.MJ.KL.NFFK..N.HH.GG
0 2 0  .BBCCCJDDL.MJAAL.MJ.K..NFFK..N.HH.GG
0 2 0  JBBCCCJ.DD.MJAA..M..KL.NFFKL.N.HH.GG
0 2 0  JBBCCCJ.DD.MJAA..M..KL.NFFKL.N.HH.GG
0 2 0  .BBCCCJ..DDMJAAL.MJ.KL.NFFK..N.HH.GG
0 2 0  .BBCCCJDD..MJAA..MJ.KL.NFFKL.N.HH.GG
0 2 0  .BBCCCJ.DD.MJAAL.MJ.KL.NFFK..N.HH.GG
0 2 0  .BBCCCJ..DDMJAAL.MJ.KL.NFFK..N.HH.GG
0 2 0  .BBCCCJDDL.MJAAL.MJ.K..NFFK..N.HH.GG
0 2 0  BB.CCCJDD..MJAAL.MJ.KL.NFFK..N.HH.GG
0 2 0  JBBCCCJ.DD.MJAAL.M..KL.NFFK..N.HH.GG
0 2 0  JBBCCCJDD..MJ..AAM..KL.NFFKL.N.HH.GG
0 2 0  .BBCCCJ.DD.MJAAL.MJ.KL.NFFK..N.HH.GG
0 2 0  .BBCCCJDD..MJAA..MJ.KL.NFFKL.N.HH.GG
0 2 0  JBBCCCJ..DDMJAA..M..KL.NFFKL.N.HH.GG
0 2 0  JBBCCCJDD..MJ.AA.M..KL.NFFKL.N.HH.GG
0 2 0  JBBCCCJ..DDMJAA..M..KL.NFFKL.N.HH.GG
0 3 0  BB.CCCJDDL.MJAAL.MJ.K..NFFK..N.HH.GG
0 3 0  .BBCCCJ.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
0 3 0  .BBCCCJ..DDMJAA..MJ.KL.NFFKL.N.HH.GG
