0 0 0  ....BBCCDD.MAAKK.MJ....MJGG.EEJHHII.
0 1 0  ...BB.CCDD.MAAKK.MJ....MJGG.EEJHHII.
0 1 0  ....BBCCDD.MAA.KKMJ....MJGG.EEJHHII.
0 1 0  ....BBCCDD.MAAKK.MJ....MJGGEE.JHHII.
0 2 0  ...BBMCCDD.MAAKK.MJ.....JGG.EEJHHII.
0 2 0  ....BBCCDD.M.AAKKMJ....MJGG.EEJHHII.
0 2 0  ...BB.CCDD.MAAKK.MJ....MJGGEE.JHHII.
0 2 0  ....BBCCDD..AAKK..J....MJGGEEMJHHIIM
0 2 0  ....BBCCDD.MAA.KKMJ....MJGGEE.JHHII.
0 2 0  ...BB.CCDD.MAA.KKMJ....MJGG.EEJHHII.
0 2 0  ...BB.CCDD.MAA.KKMJ....MJGG.EEJHHII.
0 2 0  ...BB.CCDD.MAAKK.MJ....MJGGEE.JHHII.
0 2 0  ....BBCCDD..AAKK.MJ....MJGGEEMJHHII.
0 2 0  ....BBCCDD.MAA.KKMJ....MJGGEE.JHHII.
0 3 0  ...BBMCCDD.MAAKK.MJ.....JGGEE.JHHII.
0 3 0  ...BB.CCDD..AAKK.MJ....MJGGEEMJHHII.
0 3 0  ...BB.CCDD..AAKK..J....MJGGEEMJHHIIM
0 3 0  ....BBCCDD..AA.KKMJ....MJGGEEMJHHII.
0 3 0  ....BBCCDD..AA.KKMJ....MJGGEEMJHHII.
0 3 0  ....BBCCDD..AA.KK.J....MJGGEEMJHHIIM
0 3 0  ....BBCCDD.M.AAKKMJ....MJGGEE.JHHII.
0 3 0  ...BB.CCDD.MAA.KKMJ....MJGGEE.JHHII.
0 3 0  ...BB.CCDD.MAA.KKMJ....MJGGEE.JHHII.
0 3 0  ...BB.CCDD..AAKK.MJ....MJGGEEMJHHII.
0 3 0  ....BBCCDD.MJAAKKMJ....MJGG.EE.HHII.
0 3 0  ...BBMCCDD.MAAKK.MJ.....JGGEE.JHHII.
0 3 0  ...BB.CCDD..AAKK.MJ....MJGGEEMJHHII.
0 3 0  ...BB.CCDD.MAA.KKMJ....MJGGEE.JHHII.
0 3 0  ....BBCCDD.M.AAKKMJ....MJGGEE.JHHII.
0 3 0  ...BBMCCDD.MAAKK.MJ.....JGGEE.JHHII.
0 3 0  ...BB.CCDD.M.AAKKMJ....MJGG.EEJHHII.
0 3 0  ...BB.CCDD.M.AAKKMJ....MJGG.EEJHHII.
0 3 0  ....BBCCDD..AA....J....MJGGEEMJHHIIM
0 3 0  ...BBMCCDD.MAA.KKMJ.....JGG.EEJHHII.
0 3 0  ...BB.CCDD..AAKK..J....MJGGEEMJHHIIM
0 3 0  ...BB.CCDD.M.AAKKMJ....MJGG.EEJHHII.
0 3 0  ...BBMCCDD.MAA.KKMJ.....JGG.EEJHHII.
0 3 0  ...BBMCCDD.MAA.KKMJ.....JGG.EEJHHII.
0 3 0  ....BBCCDD..AA.KKMJ....MJGGEEMJHHII.
0 3 0  ....BBCCDD.M.AAKKMJ....MJGGEE.JHHII.
0 3 0  ....BBCCDD..AA.KK.J....MJGGEEMJHHIIM
0 3 0  ...BB.CCDD.MAA.KKMJ....MJGGEE.JHHII.
0 3 0  ...BB.CCDD.MAA.KKMJ....MJGGEE.JHHII.
0 3 0  ....BBCCDD..AA.KK.J....MJGGEEMJHHIIM
0 3 0  ...BB.CCDD.MAA.KKMJ....MJGGEE.JHHII.
0 3 0  ...BB.CCDD..AAKK..J....MJGGEEMJHHIIM
0 4 0  ...BBMCCDD.MAA.KKMJ.....JGGEE.JHHII.
0 4 0  ...BB.CCDD..AA....J....MJGGEEMJHHIIM
0 4 0  ....BBCCDD...AAKK.J....MJGGEEMJHHIIM
0 4 0  ....BBCCDD...AAKK.J....MJGGEEMJHHIIM
0 4 0  ....BBCCDD....AA..J....MJGGEEMJHHIIM
0 4 0  ...BB.CCDD..AA.KK.J....MJGGEEMJHHIIM
0 4 0  ...BB.CCDD..AA....J....MJGGEEMJHHIIM
0 4 0  ....BBCCDD...AA...J....MJGGEEMJHHIIM
0 4 0  ...BB.CCDD..AAKK..J....MJGGEEMJHHIIM
0 4 0  ...BB.CCDD..AA....J....MJGGEEMJHHIIM
0 4 0  ...BB.CCDD.MJAAKKMJ....MJGG.EE.HHII.
0 4 0  ....BBCCDD..AA.KK.J....MJGGEEMJHHIIM
0 4 0  ....BBCCDD..AA....J....MJGGEEMJHHIIM
0 4 0  ...BBMCCDD.M.AAKKMJ.....JGG.EEJHHII.
0 4 0  ...BB.CCDD.MJAAKKMJ....MJGG.EE.HHII.
0 4 0  ....BBCCDD..AA.KK.J....MJGGEEMJHHIIM
0 4 0  ...BBMCCDD.M.AAKKMJ.....JGG.EEJHHII.
0 4 0  ....BBCCDD...AAKKMJ....MJGGEEMJHHII.
0 4 0  ...BB.CCDD..AA.KK.J....MJGGEEMJHHIIM
0 4 0  ...BB.CCDD..AA.KKMJ....MJGGEEMJHHII.
0 4 0  ...BB.CCDD..AA.KK.J....MJGGEEMJHHIIM
0 4 0  ....BBCCDD.MJAAKKMJ....MJGGEE..HHII.
0 4 0  ...BB.CCDD.M.AAKKMJ....MJGGEE.JHHII.
0 4 0  ...BB.CCDD..AA.KK.J....MJGGEEMJHHIIM
0 4 0  ...BB.CCDD..AA.KKMJ....MJGGEEMJHHII.
0 4 0  ...BB.CCDD.M.AAKKMJ....MJGGEE.JHHII.
0 4 0  ....BBCCDD.MJAAKKMJ....MJGGEE..HHII.
0 4 0  ....BBCCDD.MJAAKKMJ....MJGG.EEHH.II.
0 4 0  ...BBMCCDD.MAA.KKMJ.....JGGEE.JHHII.
