0 0 0  IJ..CCIJ.DDLIJAA.L..K.EEB.KFF.BGGHH.
0 1 0  IJ..CCIJDD.LIJAA.L..K.EEB.KFF.BGGHH.
0 1 0  IJ..CCIJ.DDLIJAA.LB.K.EEB.KFF..GGHH.
0 1 0  IJ..CCIJ.DDLIJAA.L..KEE.B.KFF.BGGHH.
0 1 0  IJ..CCIJ.DDLIJ.AAL..K.EEB.KFF.BGGHH.
0 1 0  I...CCIJ.DDLIJAA.L.JK.EEB.KFF.BGGHH.
0 2 0  I...CCIJDD.LIJAA.L.JK.EEB.KFF.BGGHH.
0 2 0  IJ..CCIJDD.LIJAA.L..KEE.B.KFF.BGGHH.
0 2 0  I...CCIJ.DDLIJAA.L.JKEE.B.KFF.BGGHH.
0 2 0  IJ..CCIJ.DDLIJ.AAL..KEE.B.KFF.BGGHH.
0 2 0  I...CCIJ.DDLIJAA.L.JKEE.B.KFF.BGGHH.
0 2 0  IJ..CCIJ.DDLIJAA.LB.KEE.B.KFF..GGHH.
0 2 0  IJ..CCIJDD.LIJAA.LB.K.EEB.KFF..GGHH.
0 2 0  IJ..CCIJ.DDLIJ.AAL..KEE.B.KFF.BGGHH.
0 2 0  I...CCIJ.DDLIJAA.LBJK.EEB.KFF..GGHH.
0 2 0  IJ..CCIJDD.LIJAA.L..KEE.B.KFF.BGGHH.
0 2 0  I...CCIJ.DDLIJ.AAL.JK.EEB.KFF.BGGHH.
0 2 0  I...CCIJDD.LIJAA.L.JK.EEB.KFF.BGGHH.
0 2 0  IJ..CCIJDD.LIJ.AAL..K.EEB.KFF.BGGHH.
0 2 0  IJ..CCIJ.DDLIJAA.LB.KEE.B.KFF..GGHH.
0 2 0  IJ..CCIJ.DD.IJAA....KEE.B.KFFLBGGHHL
0 2 0  I...CCIJ.DDLIJ.AAL.JK.EEB.KFF.BGGHH.
0 2 0  IJ..CCIJ.DDLIJ.AALB.K.EEB.KFF..GGHH.
0 2 0  I...CCIJ.DDLIJAA.LBJK.EEB.KFF..GGHH.
0 2 0  IJ..CCIJ.DDLIJKAAL..K.EEB..FF.BGGHH.
0 2 0  IJ..CCIJDD.LIJ.AAL..K.EEB.KFF.BGGHH.
0 2 0  IJ..CCIJ.DDLIJ.AALB.K.EEB.KFF..GGHH.
0 2 0  IJ..CCIJ.DDLIJAA.LB.K.EEB.KFF.GG.HH.
0 2 0  IJ..CCIJKDDLIJKAAL....EEB..FF.BGGHH.
0 2 0  IJK.CCIJKDDLIJ.AAL....EEB..FF.BGGHH.
0 2 0  IJ..CCIJDD.LIJAA.LB.K.EEB.KFF..GGHH.
0 2 0  IJ..CCIJ.DD.IJAA....KEELB.KFFLBGGHH.
0 2 0  IJ..CCIJ.DD.IJAA.L..KEELB.KFF.BGGHH.
0 3 0  I...CCIJDD.LIJAA.L.JKEE.B.KFF.BGGHH.
0 3 0  I...CCIJDD.LIJAA.L.JKEE.B.KFF.BGGHH.
0 3 0  I...CCIJ.DD.IJAA...JKEE.B.KFFLBGGHHL
0 3 0  IJ..CCIJDD.LIJ.AAL..KEE.B.KFF.BGGHH.
0 3 0  IJ..CCIJDD..IJAA....KEE.B.KFFLBGGHHL
0 3 0  I...CCIJ.DDLIJ.AALBJK.EEB.KFF..GGHH.
0 3 0  I...CCIJ.DD.IJAA...JKEELB.KFFLBGGHH.
0 3 0  I...CCIJ.DD.IJAA.L.JKEELB.KFF.BGGHH.
0 3 0  IJ..CCIJ.DDLIJKAALB.K.EEB..FF..GGHH.
0 3 0  IJ..CCIJKDDLIJKAAL...EE.B..FF.BGGHH.
0 3 0  IJ..CCIJDD.LIJ.AALB.K.EEB.KFF..GGHH.
0 3 0  IJ..CCIJKDDLIJKAALB...EEB..FF..GGHH.
0 3 0  IJ..CCIJDD.LIJAA.LB.KEE.B.KFF..GGHH.
0 3 0  IJK.CCIJKDDLIJ.AAL...EE.B..FF.BGGHH.
0 3 0  IJK.CCIJKDDLIJ.AALB...EEB..FF..GGHH.
0 3 0  I...CCIJDD.LIJ.AAL.JK.EEB.KFF.BGGHH.
0 3 0  IJ..CCIJDD.LIJAA.LB.KEE.B.KFF..GGHH.
0 3 0  IJ..CCIJDD.LIJ.AALB.K.EEB.KFF..GGHH.
0 3 0  IJ..CCIJDD.LIJKAAL..K.EEB..FF.BGGHH.
0 3 0  IJ..CCIJDD.LIJ.AAL..KEE.B.KFF.BGGHH.
0 3 0  IJ..CCIJDD..IJAA....KEE.B.KFFLBGGHHL
0 3 0  I...CCIJDD.LIJAA.LBJK.EEB.KFF..GGHH.
0 3 0  I...CCIJ.DDLIJKAAL.JK.EEB..FF.BGGHH.
0 3 0  IJ..CCIJ.DDLIJKAALB.K.EEB..FF..GGHH.
0 3 0  IJ..CCIJDD.LIJ.AALB.K.EEB.KFF..GGHH.
0 3 0  IJ..CCIJDD.LIJKAAL..K.EEB..FF.BGGHH.
0 3 0  IJ..CCIJKDDLIJKAAL....EEB..FF.BGGHH.
0 3 0  I...CCIJDD.LIJAA.LBJK.EEB.KFF..GGHH.
0 3 0  IJ..CCIJ.DDLIJAA.LB.KEE.B.KFF.GG.HH.
0 3 0  IJK.CCIJKDDLIJ.AAL....EEB..FF.BGGHH.
0 3 0  I...CCIJ.DDLIJAA.LBJKEE.B.KFF..GGHH.
0 3 0  IJ..CCIJ.DD.IJAA..B.KEELB.KFFL.GGHH.
0 3 0  I...CCIJ.DDLIJ.AALBJK.EEB.KFF..GGHH.
0 3 0  I...CCIJDD.LIJAA.LBJK.EEB.KFF..GGHH.
0 3 0  I...CCIJDD.LIJ.AAL.JK.EEB.KFF.BGGHH.
0 3 0  I...CCIJ.DD.IJAA...JKEE.B.KFFLBGGHHL
0 3 0  IJ..CCIJ.DD.IJAA.LB.KEELB.KFF..GGHH.
0 3 0  I...CCIJ.DDLIJAA.LBJK.EEB.KFF.GG.HH.
0 3 0  IJ..CCIJ.DDLIJ.AALB.KEE.B.KFF..GGHH.
0 3 0  I...CCIJ.DDLIJ.AALBJK.EEB.KFF..GGHH.
0 3 0  I...CCIJ.DDLIJAA.LBJKEE.B.KFF..GGHH.
