0 0 0  BB.DDHE..G.HEAAG.I.CC..I..F..I..FJJ.
0 1 0  .BBDDHE..G.HEAAG.I.CC..I..F..I..FJJ.
0 1 0  BB.DDHE....HEAAG.I.CCG.I..F..I..FJJ.
0 1 0  BB.DDHE..G.HEAAG.I.CC..I..F..I..F.JJ
0 1 0  BB.DDH...G.HEAAG.IECC..I..F..I..FJJ.
0 1 0  BB.DDHE..G.HEAAG...CC..I..F..I..FJJI
0 1 0  BB.DDHE....HEAA..I.CCG.I..FG.I..FJJ.
0 2 0  .BBDDH...G.HEAAG.IECC..I..F..I..FJJ.
0 2 0  .BBDDHE..G.HEAAG.I.CC..I..F..I..F.JJ
0 2 0  .BBDDHE..G.HEAAG.I.CC..I..F..I..F.JJ
0 2 0  BB.DDHE....HEAA....CCG.I..FG.I..FJJI
0 2 0  BB.DDHE....HEAA....CCG.I..FG.I..FJJI
0 2 0  BB.DDHE....HEAA..I.CCG.I..FG.I..F.JJ
0 2 0  BB.DDH.....HEAA..IECCG.I..FG.I..FJJ.
0 2 0  BB.DDHE....HEAAG...CCG.I..F..I..FJJI
0 2 0  BB.DDHE....HE..AAI.CCG.I..FG.I..FJJ.
0 2 0  BB.DDHE....HE.AA.I.CCG.I..FG.I..FJJ.
0 2 0  EBBDDHE..G.H.AAG.I.CC..I..F..I..FJJ.
0 2 0  BB.DDHE....HEAA..I.CCG.I..FG.I..FJJ.
0 2 0  .BBDDHE....HEAA..I.CCG.I..FG.I..FJJ.
0 2 0  BB.DDHE....HEAAG...CCG.I..F..I..FJJI
0 2 0  BB.DDH.....HEAAG.IECCG.I..F..I..FJJ.
0 2 0  BB.DDH...G.HEAAG..ECC..I..F..I..FJJI
0 2 0  BB.DD.E..G.HEAAG.H.CC..I..F..I..FJJI
0 2 0  .BBDDHE....HEAAG.I.CCG.I..F..I..FJJ.
0 2 0  BB.DDHE....HEAAG.I.CCG.I..F..I..F.JJ
0 2 0  BB.DDH...G.HEAAG..ECC..I..F..I..FJJI
0 2 0  .BBDDHE..G.HEAAG...CC..I..F..I..FJJI
0 2 0  BB.DDH...G.HEAAG.IECC..I..F..I..F.JJ
0 2 0  .BBDDHE..G.HEAAG...CC..I..F..I..FJJI
0 2 0  BB.DDH.....HEAA..IECCG.I..FG.I..FJJ.
0 2 0  BB.DDH.....HEAAG.IECCG.I..F..I..FJJ.
0 2 0  .BBDDHE....HEAA..I.CCG.I..FG.I..FJJ.
0 2 0  BB.DDHE....HEAA..I.CCG.I..FG.I..F.JJ
0 2 0  .BBDDH...G.HEAAG.IECC..I..F..I..FJJ.
0 2 0  BB.DDHE....HEAA..I.CC..I..FG.I..FGJJ
0 2 0  .BBDDHE....HEAAG.I.CCG.I..F..I..FJJ.
0 2 0  BB.DDHE....HEAAG.I.CCG.I..F..I..F.JJ
0 2 0  BB.DDH...G.HEAAG.IECC..I..F..I..F.JJ
0 3 0  .BBDDH...G.HEAAG.IECC..I..F..I..F.JJ
0 3 0  .BBDDHE....HEAA..I.CC..I..FG.I..FGJJ
0 3 0  BB.DDH.....HE..AAIECCG.I..FG.I..FJJ.
0 3 0  BB.DDH.....HEAA..IECCG.I..FG.I..F.JJ
0 3 0  BB.DDH.....HEAAG.IECCG.I..F..I..F.JJ
0 3 0  BB.DDH.....HEAA..IECCG.I..FG.I..F.JJ
0 3 0  BB.DDH.....HEAAG.IECCG.I..F..I..F.JJ
0 3 0  BB.DDH.....HEAA..IECC..I..FG.I..FGJJ
0 3 0  BB.DDHE....HE..AAI.CCG.I..FG.I..F.JJ
0 3 0  BB.DDH.....HE.AA.IECCG.I..FG.I..FJJ.
0 3 0  BB.DDHE....HE.AA.I.CCG.I..FG.I..F.JJ
0 3 0  .BBDDHE....HEAA..I.CCG.I..FG.I..F.JJ
0 3 0  .BBDDHE....HEAA..I.CC..I..FG.I..FGJJ
0 3 0  BB.DDH.....HEAAG.IECCG.I..F..I..FJJ.
0 3 0  .BBDDHE....HEAA....CCG.I..FG.I..FJJI
0 3 0  .BBDDH.....HEAA..IECCG.I..FG.I..FJJ.
0 3 0  .BBDDH.....HEAA..IECCG.I..FG.I..FJJ.
0 3 0  .BBDDHE....HE..AAI.CCG.I..FG.I..FJJ.
0 3 0  .BBDDHE....HE.AA.I.CCG.I..FG.I..FJJ.
0 3 0  BB.DDH.....HEAA...ECCG.I..FG.I..FJJI
0 3 0  BB.DDH.....HEAA..IECCG.I..FG.I..F.JJ
0 3 0  BB.DDHE....HEAA..I.CC..I..FG.I..FGJJ
0 3 0  EBBDDHE....H.AA..I.CCG.I..FG.I..FJJ.
0 3 0  BB.DDH.....HEAAG..ECCG.I..F..I..FJJI
0 3 0  BB.DDHE....HE..AAI.CCG.I..FG.I..F.JJ
0 3 0  .BBDDH.....HEAAG.IECCG.I..F..I..FJJ.
0 3 0  BB.DDH.....HEAA...ECCG.I..FG.I..FJJI
0 3 0  BB.DDH.....HEAA...ECCG.I..FG.I..FJJI
0 3 0  BB.DDHE....HE.AA.I.CCG.I..FG.I..F.JJ
0 3 0  BB.DDH.....HE..AAIECCG.I..FG.I..FJJ.
0 3 0  BB.DDH.....HE.AA.IECCG.I..FG.I..FJJ.
0 3 0  BB.DDHE....HEAAG.I.CCG.I..F..I..F.JJ
0 3 0  .BBDDH.....HEAA..IECCG.I..FG.I..FJJ.
0 3 0  .BBDDHE....HEAAG...CCG.I..F..I..FJJI
0 3 0  .BBDDHE....HEAA..I.CCG.I..FG.I..F.JJ
0 3 0  BB.DDH.....HEAAG..ECCG.I..F..I..FJJI
0 3 0  BB.DDHE....HE.AA.I.CCG.I..FG.I..F.JJ
0 3 0  BB.DDH.....HEAAG..ECCG.I..F..I..FJJI
0 3 0  .BBDDH...G.HEAAG..ECC..I..F..I..FJJI
0 3 0  .BBDD.E..G.HEAAG.H.CC..I..F..I..FJJI
0 3 0  BB.DDHE....HE...AA.CCG.I..FG.I..FJJI
