0 0 0  BBI.EE..I.K.GHAAKLGHDDKLG..J..FF.J..
0 1 0  BBIEE...I.K.GHAAKLGHDDKLG..J..FF.J..
0 1 0  BBI.EE.HI.K.GHAAKLG.DDKLG..J..FF.J..
0 1 0  BBI.EE..I.K.GHAAK.GHDDKLG..J.LFF.J..
0 1 0  BBI.EE..I...GHAA.LGHDDKLG..JK.FF.JK.
0 1 0  BBI.EE..I...GHAAKLGHDDKLG..JK.FF.J..
0 1 0  BBI.EEG.I.K.GHAAKLGHDDKL...J..FF.J..
0 1 0  BBI.EE..I.K.G.AAKLGHDDKLGH.J..FF.J..
0 1 0  BBI.EE..I.KLGHAAKLGHDDK.G..J..FF.J..
0 2 0  BBIEE...I...GHAA.LGHDDKLG..JK.FF.JK.
0 2 0  BBI.EEGHI.K.GHAAKLG.DDKL...J..FF.J..
0 2 0  BBI.EE..I...GHAA..GHDDKLG..JKLFF.JK.
0 2 0  BBI.EE..I...GH.AALGHDDKLG..JK.FF.JK.
0 2 0  BBI.EE..I...G.AA.LGHDDKLGH.JK.FF.JK.
0 2 0  BBI.EE..I..LGHAA.LGHDDK.G..JK.FF.JK.
0 2 0  BBI.EE..I...GHAAKLGHDDKLG..JK.FF.J..
0 2 0  BBIEE..HI.K.GHAAKLG.DDKLG..J..FF.J..
0 2 0  BBI.EE..I..LGHAA.LGHDDK.G..JK.FF.JK.
0 2 0  BBI.EE.HI...GHAA.LG.DDKLG..JK.FF.JK.
0 2 0  BBIEE...I.K.GHAAK.GHDDKLG..J.LFF.J..
0 2 0  BBI.EE.HI...GHAA.LG.DDKLG..JK.FF.JK.
0 2 0  BBI.EEG.I...GHAA.LGHDDKL...JK.FF.JK.
0 2 0  BBI.EE..I..LGHAAKLGHDDK.G..JK.FF.J..
0 2 0  BBIEE...I...GHAA.LGHDDKLG..JK.FF.JK.
0 2 0  BBI.EE..I.KLG.AAKLGHDDK.GH.J..FF.J..
0 2 0  BBI.EE.HI.KLGHAAKLG.DDK.G..J..FF.J..
0 2 0  BBIEE...I...GHAAKLGHDDKLG..JK.FF.J..
0 2 0  BBI.EE..I...GHAAK.GHDDKLG..JKLFF.J..
0 2 0  BBI.EEG.I.KLGHAAKLGHDDK....J..FF.J..
0 2 0  BBIEE...I.KLGHAAKLGHDDK.G..J..FF.J..
0 2 0  BBI.EE..I.K.G.AAK.GHDDKLGH.J.LFF.J..
0 2 0  BBI.EE..I.K.G.AAK.GHDDKLGH.J.LFF.J..
0 2 0  BBI.EE..I...G.AAKLGHDDKLGH.JK.FF.J..
0 2 0  BBIEE...I.K.G.AAKLGHDDKLGH.J..FF.J..
0 2 0  BBI.EE.HI.K.GHAAK.G.DDKLG..J.LFF.J..
0 2 0  BBI.EE..I...GHAA..GHDDKLG..JKLFF.JK.
0 2 0  BBI.EEG.I...GHAA.LGHDDKL...JK.FF.JK.
0 2 0  BBI.EE..I.K.GAA.KLGHDDKLGH.J..FF.J..
0 2 0  BBI.EE..I.KLG.AAKLGHDDK.GH.J..FF.J..
0 2 0  BBI.EEG.I.K.GHAAK.GHDDKL...J.LFF.J..
0 2 0  BBI.EEG.I.K.G.AAKLGHDDKL.H.J..FF.J..
0 2 0  BBIEE...I.K.G.AAKLGHDDKLGH.J..FF.J..
0 2 0  BBIEE...I.KLGHAAKLGHDDK.G..J..FF.J..
0 2 0  BBIEE...I.K.GHAAK.GHDDKLG..J.LFF.J..
0 2 0  BBI.EEG.I.K.GHAAK.GHDDKL...J.LFF.J..
0 2 0  BBI.EEG.I...GHAAKLGHDDKL...JK.FF.J..
0 2 0  BBI.EE.HI.K.GHAAK.G.DDKLG..J.LFF.J..
0 2 0  BBI.EEG.I.K.G.AAKLGHDDKL.H.J..FF.J..
0 2 0  BBI.EEG.I.KLGHAAKLGHDDK....J..FF.J..
0 2 0  BBIEE..HI.K.GHAAKLG.DDKLG..J..FF.J..
0 2 0  BBI.EE.HI...GHAAKLG.DDKLG..JK.FF.J..
