0 0 0  JBB...J.DD.MJAALLMFFK..I..KNNI.HHGGI
0 1 0  J.BB..J.DD.MJAALLMFFK..I..KNNI.HHGGI
0 1 0  JBB...JDD..MJAALLMFFK..I..KNNI.HHGGI
0 1 0  JBB...J..DDMJAALLMFFK..I..KNNI.HHGGI
0 1 0  JBB..MJ.DD.MJAALL.FFK..I..KNNI.HHGGI
0 2 0  J.BB..J..DDMJAALLMFFK..I..KNNI.HHGGI
0 2 0  JBB..MJDD..MJAALL.FFK..I..KNNI.HHGGI
0 2 0  JBB..MJ..DDMJAALL.FFK..I..KNNI.HHGGI
0 2 0  JBB..MJ.DD.MJAA...FFK..I..KNNI.HHGGI
0 2 0  J.BB..JDD..MJAALLMFFK..I..KNNI.HHGGI
0 2 0  JBB..MJ.DD.MJAALLIFFK..I..KNNI.HHGG.
0 2 0  J.BB..JDD..MJAALLMFFK..I..KNNI.HHGGI
0 2 0  JBB...J..DDMJAALLMFFK..I..KNNI.HHGGI
0 2 0  JBB..MJ..DDMJAALL.FFK..I..KNNI.HHGGI
0 2 0  JBB..MJDD..MJAALL.FFK..I..KNNI.HHGGI
0 2 0  J.BB.MJ.DD.MJAALL.FFK..I..KNNI.HHGGI
0 2 0  J.BB.MJ.DD.MJAALL.FFK..I..KNNI.HHGGI
0 2 0  J.BB..J..DDMJAALLMFFK..I..KNNI.HHGGI
0 3 0  J.BB..JDD..MJAALLMFFK..I..KNNI.HHGGI
0 3 0  JBB..MJ..DDMJAALL.FFK..I..KNNI.HHGGI
0 3 0  JBB..MJ.DD.MJ...AAFFK..I..KNNI.HHGGI
