0 0 0  IJBB..IJ..CCIJAALDEEK.LD..KFFF.GGHH.
0 1 0  IJBB..IJCC..IJAALDEEK.LD..KFFF.GGHH.
0 1 0  IJBB..IJ.CC.IJAALDEEK.LD..KFFF.GGHH.
0 1 0  IJBB..IJ..CCIJAALDEEK.LD..KFFF.GG.HH
0 2 0  IJBBL.IJCCL.IJAA.DEEK..D..KFFF.GGHH.
0 2 0  IJBB..IJCC.DIJAALDEEK.L...KFFF.GGHH.
0 2 0  IJBB..IJ.CC.IJAALDEEK.LD..KFFF.GG.HH
0 2 0  IJBB..IJ.CC.IJAALDEEK.LD..KFFF.GG.HH
0 2 0  IJBB..IJ.CC.IJAALDEEK.LD..KFFF.GGHH.
0 2 0  IJBB..IJCCL.IJAALDEEK..D..KFFF.GGHH.
0 2 0  IJBB..IJCC..IJAALDEEK.LD..KFFF.GG.HH
0 2 0  IJBB..IJCC..IJAALDEEK.LD..KFFF.GG.HH
0 2 0  IJBB.DIJCC.DIJAAL.EEK.L...KFFF.GGHH.
0 2 0  IJBB..IJ.CCDIJAALDEEK.L...KFFF.GGHH.
0 2 0  IJBB.DIJ.CCDIJAAL.EEK.L...KFFF.GGHH.
0 3 0  IJBBL.IJCCL.IJ.AADEEK..D..KFFF.GGHH.
0 3 0  IJBBL.IJCCLDIJAA.DEEK.....KFFF.GGHH.
0 3 0  IJBB..IJ.CCDIJAALDEEK.L...KFFF.GG.HH
0 3 0  IJBB..IJCCL.IJAALDEEK..D..KFFF.GG.HH
0 3 0  IJBB..IJ.CCDIJAALDEEK.L...KFFF.GG.HH
0 3 0  IJBB.DIJ.CCDIJAAL.EEK.L...KFFF.GG.HH
0 3 0  IJBB.DIJCC.DIJAAL.EEK.L...KFFF.GG.HH
0 3 0  IJBBL.IJCCL.IJAA.DEEK..D..KFFF.GG.HH
0 3 0  IJBBL.IJCCL.IJAA.DEEK..D..KFFF.GG.HH
0 3 0  IJBB..IJCCL.IJAALDEEK..D..KFFF.GG.HH
0 3 0  IJBB..IJCCL.IJAALDEEK..D..KFFF.GGHH.
0 3 0  IJBB..IJCC.DIJAALDEEK.L...KFFF.GG.HH
0 3 0  IJBB.DIJCC.DIJAAL.EEK.L...KFFF.GG.HH
0 3 0  IJBBL.IJCCL.IJAA.DEEK..D..KFFF.GG.HH
0 3 0  IJBBL.IJCCLDIJAA.DEEK.....KFFF.GGHH.
0 3 0  IJBB..IJCCLDIJAALDEEK.....KFFF.GGHH.
0 3 0  IJBB.DIJCCLDIJAAL.EEK.....KFFF.GGHH.
0 3 0  IJBBLDIJCCLDIJAA..EEK.....KFFF.GGHH.
0 3 0  IJBB.DIJ.CCDIJAAL.EEK.L...KFFF.GGHH.
0 3 0  IJBB..IJ.CCDIJAALDEEK.L...KFFF.GGHH.
0 3 0  IJBB.DIJCC.DIJAAL.EEK.L...KFFF.GG.HH
0 3 0  IJBB..IJCC..IJAALDEEK.LD..KFFF.GG.HH
0 3 0  IJBB.DIJ.CCDIJAAL.EEK.L...KFFF.GG.HH
0 3 0  IJBB..IJ.CCDIJAALDEEK.L...KFFF.GG.HH
0 3 0  IJBB..IJCC..IJAALDEEK.LD..KFFF.GG.HH
0 3 0  IJBB.DIJ.CCDIJAAL.EEK.L...KFFF.GG.HH
0 3 0  IJBB..IJCCL.IJAALDEEK..D..KFFF.GG.HH
0 3 0  IJBB..IJCC.DIJAALDEEK.L...KFFF.GG.HH
0 3 0  IJBB..IJ.CCDIJAALDEEK.L...KFFF.GGHH.
0 3 0  IJBB..IJCCLDIJAALDEEK.....KFFF.GGHH.
0 3 0  IJBB..IJCC.DIJAALDEEK.L...KFFF.GG.HH
0 3 0  IJBB.DIJ.CCDIJAAL.EEK.L...KFFF.GGHH.
0 3 0  IJBB.DIJ.CCDIJAAL.EEK.L...KFFF.GGHH.
0 3 0  IJBB.DIJCC.DIJAAL.EEK.L...KFFF.GGHH.
0 3 0  IJBB.DIJCCLDIJAAL.EEK.....KFFF.GGHH.
0 3 0  IJBBLDIJCCLDIJAA..EEK.....KFFF.GGHH.
0 4 0  IJBBL.IJCCL.IJ.AADEEK..D..KFFF.GG.HH
0 4 0  IJBB..IJCC.DIJAALDEEK.L...KFFF.GG.HH
0 4 0  IJBB..IJCC.DIJAALDEEK.L...KFFF.GG.HH
0 4 0  IJBBL.IJCCLDIJAA.DEEK.....KFFF.GG.HH
0 4 0  IJBB.DIJCCLDIJAAL.EEK.....KFFF.GG.HH
0 4 0  IJBBLDIJCCLDIJAA..EEK.....KFFF.GG.HH
0 4 0  IJBBL.IJCCLDIJAA.DEEK.....KFFF.GG.HH
0 4 0  IJBB..IJCCLDIJAALDEEK.....KFFF.GG.HH
0 4 0  IJBB.DIJCC.DIJAAL.EEK.L...KFFF.GG.HH
0 4 0  IJBBLDIJCCLDIJ..AAEEK.....KFFF.GGHH.
