0 0 0  .HHD..CC.D.MAA.L.MJK.LEEJKGG...BB.II
0 1 0  .HHD.MCC.D.MAA.L..JK.LEEJKGG...BB.II
0 1 0  .HHD..CC.D.MAA.L.MJK.LEEJK.GG..BB.II
0 1 0  .HHD..CC.D.MAA.L.M.K.LEEJKGG..JBB.II
0 1 0  .HHD..CC.D.M.AAL.MJK.LEEJKGG...BB.II
0 1 0  .HHD..CC.D.MAA.L.MJK.LEEJK..GG.BB.II
0 2 0  .HHD.MCC.D.MAA.L..JK.LEEJK..GG.BB.II
0 2 0  .HHD.MCC.D.MAA.L...K.LEEJKGG..JBB.II
0 2 0  .HHD..CC.D.MJAAL.MJK.LEE.KGG...BB.II
0 2 0  .HHD..CC.D.M.AAL.M.K.LEEJKGG..JBB.II
0 2 0  .HHD..CC.D.MAA...MJK..EEJK.LGG.BBLII
0 2 0  .HHD.MCC.D.M.AAL..JK.LEEJKGG...BB.II
0 2 0  .HHD.MCC.D.MAA.L..JK.LEEJK.GG..BB.II
0 2 0  .HHD..CC.D.MAA.L.M.K.LEEJK.GG.JBB.II
0 2 0  .HHD..CC.D.M.AAL.M.K.LEEJKGG..JBB.II
0 2 0  .HHD.MCC.D.M.AAL..JK.LEEJKGG...BB.II
0 2 0  .HHD.MCC.D.MAA.L...K.LEEJKGG..JBB.II
0 2 0  .HHD..CC.D.MAA.L.M.K.LEEJK..GGJBB.II
0 2 0  .HHD..CC.D.MAA.L.MJK.LEEJK..GG.BB.II
0 2 0  .HHD..CC.D.MAA.L.M.K.LEEJK..GGJBB.II
0 2 0  .HHD..CC.D.MAA...MJK.LEEJK.LGG.BB.II
0 2 0  .HHD..CC.D.M.AAL.MJK.LEEJK.GG..BB.II
0 2 0  .HHD..CC.D.MAA.L.M.K.LEEJK.GG.JBB.II
0 2 0  .HHD..CC.D.M.AAL.MJK.LEEJK..GG.BB.II
0 2 0  .HHD.MCC.D.MAA.L..JK.LEEJK..GG.BB.II
0 2 0  .HHD.MCC.D.MAA.L..JK.LEEJK.GG..BB.II
0 2 0  .HHD..CC.D.M.AAL.MJK.LEEJK..GG.BB.II
0 2 0  .HHD..CC.D.M.AAL.MJK.LEEJK.GG..BB.II
0 3 0  .HHD.MCC.D.MAA....JK..EEJK.LGG.BBLII
0 3 0  .HHD..CC.D.MJAAL.MJK.LEE.K..GG.BB.II
0 3 0  .HHD.MCC.D.M.AAL...K.LEEJKGG..JBB.II
0 3 0  .HHD.MCC.D.MAA.L...K.LEEJK.GG.JBB.II
0 3 0  .HHD..CC.D.M.AA..MJK.LEEJK.LGG.BB.II
0 3 0  .HHD..CC.D.M.AA..MJK..EEJK.LGG.BBLII
0 3 0  .HHD..CC.D.M.AAL.M.K.LEEJK.GG.JBB.II
0 3 0  .HHD.MCC.D.MAA....JK.LEEJK.LGG.BB.II
0 3 0  .HHD..CC.D.M.AAL.M.K.LEEJKGG..JBB.II
0 3 0  .HHD..CC.D.MAA...M.K.LEEJK.LGGJBB.II
0 3 0  .HHD..CC.D.M.AAL.M.K.LEEJK..GGJBB.II
0 3 0  .HHD.MCC.D.MAA.L...K.LEEJK..GGJBB.II
0 3 0  .HHD..CC.D.MJAAL.MJK.LEE.K.GG..BB.II
